epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31
0,78.99371064384029,86.206894,100.0,85.71429,75.0,87.5,41.935482,100.0,94.44444,71.42857,100.0,88.888885,100.0,86.666664,63.157894,10.0,37.2093,100.0,100.0,71.42857,100.0,93.75,95.0,53.333332,85.18519,87.5,45.454544,100.0,70.0,83.333336,86.95652,71.42857
3,84.52830177163177,100.0,100.0,100.0,91.666664,93.75,38.70968,100.0,88.888885,90.47619,100.0,96.296295,100.0,80.0,78.947365,20.0,67.441864,96.666664,92.59259,85.71429,100.0,93.75,95.0,70.0,96.296295,75.0,63.636364,88.0,80.0,87.5,86.95652,95.2381
4,88.930817571676,100.0,100.0,100.0,91.666664,100.0,70.96774,100.0,94.44444,80.95238,100.0,100.0,100.0,93.333336,78.947365,40.0,67.441864,96.666664,100.0,92.85714,100.0,93.75,100.0,66.666664,92.59259,92.5,63.636364,100.0,80.0,79.166664,100.0,95.2381
5,90.8176100245062,100.0,100.0,96.42857,100.0,100.0,77.41936,100.0,94.44444,85.71429,100.0,100.0,100.0,93.333336,78.947365,56.666668,65.11628,96.666664,100.0,92.85714,100.0,93.75,100.0,70.0,96.296295,97.5,63.636364,100.0,96.666664,75.0,100.0,95.2381
6,91.06918235155021,100.0,100.0,96.42857,100.0,100.0,70.96774,100.0,94.44444,90.47619,100.0,100.0,100.0,96.666664,94.73684,56.666668,67.441864,96.666664,100.0,92.85714,100.0,93.75,100.0,63.333332,96.296295,95.0,63.636364,100.0,96.666664,79.166664,100.0,95.2381
7,91.57232700563827,100.0,100.0,96.42857,100.0,100.0,64.51613,100.0,94.44444,90.47619,100.0,100.0,100.0,96.666664,100.0,63.333332,65.11628,96.666664,100.0,96.42857,100.0,93.75,100.0,66.666664,96.296295,95.0,63.636364,100.0,93.333336,91.666664,100.0,95.2381
8,93.20754713142443,100.0,100.0,96.42857,100.0,100.0,90.32258,100.0,94.44444,90.47619,100.0,100.0,100.0,96.666664,100.0,66.666664,69.76744,96.666664,100.0,100.0,100.0,93.75,100.0,70.0,96.296295,97.5,63.636364,100.0,93.333336,87.5,100.0,95.2381
9,93.58490562199047,100.0,100.0,96.42857,100.0,100.0,96.77419,100.0,94.44444,90.47619,100.0,100.0,100.0,96.666664,100.0,70.0,67.441864,96.666664,100.0,100.0,100.0,93.75,95.0,73.333336,96.296295,95.0,63.636364,100.0,100.0,87.5,100.0,95.2381
11,93.71069178551248,100.0,100.0,96.42857,100.0,100.0,96.77419,100.0,94.44444,90.47619,100.0,100.0,100.0,96.666664,100.0,70.0,69.76744,96.666664,100.0,100.0,100.0,93.75,100.0,76.666664,96.296295,95.0,63.636364,100.0,100.0,79.166664,100.0,95.2381
12,93.83647794903449,100.0,100.0,96.42857,100.0,100.0,96.77419,100.0,94.44444,90.47619,100.0,100.0,100.0,96.666664,100.0,70.0,72.093025,96.666664,100.0,100.0,100.0,93.75,95.0,76.666664,96.296295,92.5,63.636364,100.0,100.0,87.5,100.0,95.2381
20,93.96226411255651,100.0,100.0,100.0,100.0,93.75,93.548386,100.0,100.0,90.47619,100.0,100.0,100.0,96.666664,100.0,76.666664,74.4186,100.0,100.0,100.0,100.0,93.75,100.0,80.0,96.296295,95.0,63.636364,100.0,86.666664,79.166664,100.0,95.2381
