epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31
0,78.99371064384029,86.206894,100.0,85.71429,75.0,87.5,41.935482,100.0,94.44444,71.42857,100.0,88.888885,100.0,86.666664,63.157894,10.0,37.2093,100.0,100.0,71.42857,100.0,93.75,95.0,53.333332,85.18519,87.5,45.454544,100.0,70.0,83.333336,86.95652,71.42857
2,79.87421378849437,86.206894,100.0,96.42857,91.666664,87.5,41.935482,100.0,88.888885,57.142857,100.0,96.296295,100.0,70.0,73.68421,10.0,51.162792,96.666664,92.59259,78.57143,100.0,93.75,100.0,60.0,92.59259,75.0,63.636364,88.0,80.0,79.166664,86.95652,76.190475
3,84.90566022381093,100.0,100.0,100.0,91.666664,93.75,38.70968,100.0,88.888885,85.71429,100.0,96.296295,100.0,90.0,84.210526,23.333334,72.093025,96.666664,96.296295,85.71429,100.0,93.75,95.0,63.333332,88.888885,80.0,63.636364,88.0,86.666664,87.5,69.565216,95.2381
4,90.06289304337412,100.0,100.0,92.85714,91.666664,100.0,67.741936,100.0,94.44444,80.95238,100.0,100.0,100.0,93.333336,84.210526,46.666668,79.06977,96.666664,100.0,100.0,100.0,93.75,100.0,73.333336,81.48148,90.0,63.636364,100.0,93.333336,79.166664,100.0,95.2381
5,91.57232700563827,100.0,100.0,92.85714,100.0,100.0,74.19355,100.0,94.44444,85.71429,100.0,100.0,100.0,93.333336,84.210526,63.333332,72.093025,96.666664,100.0,100.0,100.0,93.75,100.0,76.666664,92.59259,95.0,63.636364,100.0,96.666664,75.0,100.0,95.2381
6,92.07547165972632,100.0,100.0,96.42857,100.0,100.0,70.96774,100.0,94.44444,90.47619,100.0,100.0,100.0,93.333336,100.0,66.666664,79.06977,93.333336,100.0,92.85714,100.0,93.75,100.0,66.666664,92.59259,95.0,63.636364,100.0,96.666664,83.333336,100.0,95.2381
7,93.58490562199047,100.0,100.0,96.42857,91.666664,100.0,93.548386,100.0,94.44444,85.71429,100.0,100.0,100.0,96.666664,94.73684,80.0,79.06977,93.333336,100.0,92.85714,100.0,93.75,100.0,73.333336,96.296295,95.0,81.818184,100.0,90.0,83.333336,100.0,95.2381
8,94.21383640121364,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.44444,80.95238,100.0,100.0,100.0,96.666664,100.0,80.0,79.06977,93.333336,100.0,100.0,100.0,93.75,100.0,73.333336,85.18519,95.0,90.90909,100.0,96.666664,83.333336,95.652176,95.2381
9,94.46540876664456,100.0,100.0,100.0,100.0,100.0,96.77419,97.5,94.44444,85.71429,100.0,100.0,96.296295,96.666664,94.73684,83.333336,76.74419,90.0,100.0,100.0,100.0,93.75,100.0,76.666664,96.296295,90.0,100.0,100.0,100.0,87.5,100.0,95.2381
10,95.59748423834267,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.44444,80.95238,100.0,100.0,100.0,90.0,94.73684,73.333336,86.04651,93.333336,100.0,100.0,100.0,93.75,100.0,93.333336,96.296295,92.5,100.0,100.0,100.0,91.666664,100.0,95.2381
