epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
0,48.65979380831549,75.0,41.07143,43.75,40.816326,87.878784,40.40404,32.876713,91.304344,50.0,39.39394,52.525253,52.5,32.32323,57.8125,90.47619,19.512196,50.0,5.0,92.68293,68.0,87.5,70.0,56.565655,38.38384,31.147541,75.0,33.333332,49.275364,77.5,37.373737,58.490566,82.5,93.93939,7.0422535,52.525253,35.0,57.894737,69.69697,19.27711,37.5,68.62745,72.5,19.19192,37.373737,9.756098,52.87356,65.0,60.869564,52.5,71.64179,64.64646,49.333332,45.238094,21.428572,39.534885,37.704918,65.55556,15.0,26.262627,70.0,19.19192,64.10256,12.121212,43.396225,45.0
1,49.04925543969713,78.333336,33.92857,29.6875,52.040817,87.878784,39.39394,43.835617,89.13043,42.307693,48.484848,61.61616,47.5,44.444443,73.4375,92.85714,17.073172,60.416668,2.5,95.12195,66.0,92.5,80.0,71.71717,17.171717,36.065575,82.69231,27.272728,55.072464,80.0,48.484848,56.603775,75.0,94.94949,7.0422535,37.373737,32.5,39.473682,65.65656,16.86747,55.0,68.62745,57.5,30.30303,36.363636,14.634147,44.827587,55.0,63.04348,47.5,70.149254,59.59596,45.333332,50.0,21.428572,60.465115,34.42623,61.11111,35.0,19.19192,60.0,29.292929,64.10256,15.151515,39.622643,25.0
3,50.28636883695238,81.666664,30.357143,29.6875,38.77551,88.888885,48.484848,38.356163,91.304344,43.589745,44.444443,58.585857,60.0,20.20202,59.375,92.85714,14.634147,50.0,5.0,95.12195,68.0,87.5,82.5,70.70707,19.19192,32.786884,86.53846,27.272728,60.869564,72.5,46.464645,52.83019,80.0,94.94949,14.084507,52.525253,40.0,48.68421,65.65656,9.638555,67.5,72.54902,70.0,24.242424,44.444443,17.073172,48.275864,75.0,60.869564,50.0,76.1194,66.666664,42.666668,61.904762,21.428572,67.441864,47.540985,65.55556,23.333334,23.232323,71.25,28.282827,64.10256,17.171717,52.83019,40.0
4,51.34020618644094,78.333336,37.5,28.125,45.918365,88.888885,49.49495,60.27397,89.13043,56.410255,47.474747,54.545456,57.5,25.252525,64.0625,92.85714,9.756098,56.25,7.5,95.12195,70.0,80.0,87.5,69.69697,24.242424,39.34426,90.38461,36.363636,60.869564,75.0,40.40404,56.603775,75.0,93.93939,12.676056,57.575756,20.0,47.36842,63.636364,16.86747,67.5,70.588234,70.0,25.252525,46.464645,17.073172,54.022987,57.5,67.391304,62.5,74.62687,66.666664,52.0,54.761906,23.809525,62.7907,36.065575,61.11111,40.0,29.292929,66.25,24.242424,56.410255,17.171717,37.735847,30.0
6,52.21076747024728,81.666664,53.57143,25.0,46.938774,89.89899,45.454544,54.79452,95.652176,42.307693,51.515152,62.626263,47.5,31.313131,71.875,88.09524,9.756098,56.25,7.5,95.12195,68.0,77.5,90.0,73.73737,17.171717,29.508196,90.38461,27.272728,63.768116,77.5,54.545456,54.71698,77.5,93.93939,9.859155,57.575756,45.0,43.42105,66.666664,20.481928,62.5,72.54902,72.5,33.333332,40.40404,12.195122,45.977013,62.5,71.73913,62.5,74.62687,74.747475,50.666668,50.0,19.047619,72.093025,45.901638,57.77778,38.333332,27.272728,65.0,23.232323,58.974358,19.19192,50.943398,42.5
7,56.265750284620985,83.333336,64.28571,28.125,55.10204,91.91919,67.676765,54.79452,93.478264,47.435898,62.626263,67.676765,55.0,13.131313,68.75,90.47619,14.634147,54.166668,0.0,95.12195,64.0,87.5,97.5,89.89899,36.363636,49.18033,92.30769,34.343433,84.05797,77.5,57.575756,62.264153,72.5,94.94949,4.2253523,81.818184,30.0,52.63158,79.79798,18.072289,72.5,72.54902,72.5,30.30303,52.525253,14.634147,52.87356,72.5,76.08696,70.0,73.13433,65.65656,53.333332,61.904762,19.047619,74.4186,40.98361,61.11111,28.333334,28.282827,67.5,22.222221,64.10256,15.151515,52.83019,45.0
8,57.29667812316825,91.666664,71.42857,29.6875,68.36735,92.92929,73.73737,61.643837,84.78261,57.692307,71.71717,67.676765,67.5,27.272728,87.5,90.47619,9.756098,52.083332,0.0,95.12195,70.0,85.0,97.5,83.83839,11.111111,31.147541,92.30769,26.262627,76.81159,77.5,64.64646,56.603775,77.5,94.94949,2.8169014,80.80808,32.5,55.263157,80.80808,16.86747,70.0,74.5098,70.0,29.292929,50.50505,14.634147,51.724136,70.0,78.26087,87.5,76.1194,70.70707,54.666668,66.666664,11.904762,76.74419,40.98361,56.666668,43.333332,30.30303,63.75,22.222221,69.23077,16.161615,54.71698,37.5
9,58.671248566844895,91.666664,71.42857,28.125,61.22449,93.93939,78.78788,60.27397,93.478264,52.564102,74.747475,67.676765,72.5,38.38384,79.6875,92.85714,9.756098,54.166668,0.0,95.12195,62.0,85.0,100.0,90.90909,14.141414,40.98361,94.23077,41.414143,89.85507,77.5,58.585857,56.603775,80.0,94.94949,2.8169014,76.76768,25.0,52.63158,83.83839,12.048193,72.5,72.54902,75.0,34.343433,56.565655,12.195122,58.62069,80.0,78.26087,80.0,79.10448,59.59596,58.666668,66.666664,23.809525,79.06977,50.81967,57.77778,46.666668,36.363636,65.0,24.242424,69.23077,14.141414,58.490566,12.5
11,59.06071019341992,90.0,91.07143,29.6875,65.30612,93.93939,77.77778,63.0137,95.652176,44.871796,81.818184,74.747475,65.0,57.575756,70.3125,95.2381,9.756098,52.083332,0.0,95.12195,78.0,82.5,97.5,84.84849,14.141414,44.262295,94.23077,35.353535,91.304344,77.5,55.555557,60.377357,82.5,91.91919,1.4084507,51.515152,35.0,55.263157,85.85859,24.096386,72.5,70.588234,77.5,26.262627,52.525253,9.756098,58.62069,87.5,84.78261,82.5,80.597015,61.61616,45.333332,61.904762,35.714287,72.093025,52.459015,62.22222,55.0,40.40404,65.0,22.222221,64.10256,18.181818,49.056602,12.5
12,60.022909508319515,93.333336,80.35714,25.0,73.46939,93.93939,81.818184,64.38356,95.652176,47.435898,85.85859,71.71717,65.0,26.262627,76.5625,90.47619,7.3170733,52.083332,0.0,97.560974,70.0,80.0,97.5,92.92929,7.070707,47.540985,94.23077,41.414143,86.95652,77.5,62.626263,52.83019,80.0,94.94949,2.8169014,77.77778,32.5,46.05263,85.85859,27.710844,70.0,68.62745,75.0,41.414143,55.555557,7.3170733,56.32184,82.5,76.08696,75.0,79.10448,67.676765,60.0,69.04762,35.714287,79.06977,55.737705,58.88889,50.0,55.555557,63.75,22.222221,71.79487,13.131313,49.056602,15.0
