epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
0,75.41886619233418,88.37209,92.92929,87.5,78.313255,100.0,80.76923,81.25,97.26028,100.0,93.93939,89.583336,44.615383,46.875,71.052635,86.30137,67.741936,64.70588,69.76744,98.765434,76.666664,91.37931,88.23529,100.0,56.14035,52.77778,91.666664,71.15385,81.666664,79.166664,66.666664,97.59036,76.92308,89.55224,13.043478,67.60564,69.565216,96.666664,89.655174,42.64706,45.3125,70.0,64.70588,69.23077,67.79661,56.71642,100.0,79.245285,72.72727,90.666664,87.80488,76.623375,72.54902,63.636364,70.12987,94.318184,82.53968,44.444443,75.92593,32.07547,61.01695,69.51219,56.47059,29.850746,55.555557,61.22449
1,75.46476933669956,90.69768,93.93939,78.125,79.518074,100.0,82.051285,85.0,94.520546,98.52941,94.94949,85.416664,46.153847,70.3125,75.0,89.0411,74.19355,70.588234,55.813953,98.765434,83.333336,84.48276,81.17647,100.0,38.596493,44.444443,95.0,65.38461,91.666664,79.166664,84.0,95.180725,74.35897,89.55224,17.391304,35.21127,73.91304,90.0,94.82758,51.47059,42.1875,70.0,61.764706,83.07692,59.322033,64.17911,98.07692,73.58491,71.21212,96.0,85.36585,77.92208,80.39216,71.21212,77.92208,92.045456,79.36508,33.333332,90.74074,24.528301,64.40678,67.07317,61.17647,23.880596,50.617283,57.142857
6,75.55657562543034,88.37209,92.92929,81.25,77.10844,100.0,70.51282,81.25,95.89041,100.0,94.94949,86.458336,40.0,56.25,84.210526,87.671234,54.83871,64.70588,60.465115,96.296295,83.333336,75.86207,85.882355,100.0,36.842106,38.88889,98.333336,69.23077,85.0,72.22222,84.0,96.385544,76.92308,94.029854,17.391304,66.19718,71.73913,83.333336,91.37931,45.588234,43.75,70.0,70.588234,78.46154,64.40678,62.686565,100.0,71.69811,83.333336,88.0,90.243904,85.71429,76.47059,66.666664,77.92208,93.181816,87.30159,27.160494,87.03704,30.188679,71.18644,62.19512,63.52941,31.343283,55.555557,69.38776
7,77.30089511131513,88.37209,91.91919,85.9375,80.72289,100.0,91.02564,90.0,97.26028,100.0,96.969696,94.791664,46.153847,43.75,76.31579,93.15069,62.903225,64.70588,60.465115,97.53086,86.666664,77.586205,89.411766,100.0,45.614037,55.555557,96.666664,75.0,91.666664,73.611115,86.666664,97.59036,82.051285,91.04478,8.695652,77.46479,78.26087,91.666664,91.37931,50.0,37.5,63.333332,72.05882,83.07692,69.49152,52.238808,100.0,73.58491,77.27273,97.333336,87.80488,87.012985,76.47059,71.21212,80.51948,92.045456,74.60317,32.098766,79.62963,32.07547,69.49152,63.414635,58.82353,26.865671,50.617283,83.67347
8,78.01239384897866,87.209305,91.91919,92.1875,89.156624,100.0,89.74359,85.0,94.520546,100.0,96.969696,94.791664,58.46154,53.125,71.052635,94.520546,64.51613,68.62745,53.488373,97.53086,88.333336,72.413795,87.05882,100.0,29.824562,41.666668,98.333336,80.76923,91.666664,84.72222,94.666664,95.180725,82.051285,91.04478,21.73913,77.46479,76.08696,95.0,91.37931,58.82353,37.5,66.666664,70.588234,83.07692,59.322033,56.71642,98.07692,75.471695,86.36364,97.333336,90.243904,87.012985,80.39216,69.69697,80.51948,95.454544,74.60317,22.222221,87.03704,33.962265,57.627117,64.63415,65.882355,29.850746,58.024693,75.5102
9,78.60913472572871,93.023254,93.93939,90.625,84.33735,100.0,87.17949,85.0,100.0,100.0,92.92929,89.583336,49.23077,65.625,75.0,94.520546,64.51613,64.70588,69.76744,97.53086,88.333336,75.86207,90.588234,100.0,29.824562,58.333332,98.333336,82.69231,93.333336,80.55556,81.333336,97.59036,83.333336,94.029854,17.391304,63.380283,71.73913,88.333336,91.37931,52.941177,37.5,76.666664,73.52941,81.53846,69.49152,70.149254,100.0,81.13207,78.78788,96.0,90.243904,85.71429,82.35294,71.21212,87.012985,96.59091,74.60317,28.395061,88.888885,32.07547,77.9661,62.19512,64.70588,25.373135,59.25926,77.55102
10,79.02226302501721,90.69768,95.959595,93.75,83.13253,100.0,92.30769,85.0,95.89041,100.0,94.94949,94.791664,56.923077,67.1875,81.57895,94.520546,70.96774,64.70588,67.441864,97.53086,88.333336,79.31035,91.76471,100.0,24.561403,50.0,100.0,82.69231,88.333336,83.333336,90.666664,98.79518,85.89744,92.537315,21.73913,61.971832,71.73913,91.666664,93.10345,66.17647,37.5,63.333332,75.0,75.38461,64.40678,59.701492,100.0,75.471695,78.78788,97.333336,92.68293,90.90909,76.47059,80.30303,77.92208,96.59091,69.84127,34.5679,92.59259,32.07547,66.10169,65.85366,70.588234,20.895523,59.25926,63.265305
12,79.68785861831536,95.34884,94.94949,90.625,89.156624,100.0,94.871796,91.25,94.520546,98.52941,95.959595,91.666664,55.384617,67.1875,85.52631,91.78082,61.29032,64.70588,62.7907,96.296295,88.333336,77.586205,91.76471,100.0,29.824562,63.88889,100.0,78.84615,93.333336,81.94444,93.333336,98.79518,79.48718,86.56716,13.043478,73.23943,76.08696,95.0,94.82758,60.294117,48.4375,66.666664,75.0,86.15385,71.18644,71.64179,100.0,75.471695,81.818184,97.333336,90.243904,83.11688,82.35294,69.69697,85.71429,95.454544,66.666664,33.333332,85.18519,33.962265,72.881355,65.85366,64.70588,32.83582,49.382717,75.5102
13,79.75671333486343,90.69768,89.89899,93.75,84.33735,98.9899,85.89744,86.25,98.630135,98.52941,96.969696,95.833336,52.307693,67.1875,80.26316,95.89041,67.741936,64.70588,67.441864,96.296295,86.666664,72.413795,92.94118,100.0,33.333332,63.88889,100.0,92.30769,95.0,80.55556,88.0,97.59036,85.89744,88.0597,21.73913,67.60564,67.391304,90.0,96.55173,48.52941,42.1875,76.666664,76.47059,83.07692,64.40678,76.1194,100.0,73.58491,87.878784,97.333336,87.80488,89.61039,74.5098,80.30303,80.51948,95.454544,87.30159,32.098766,85.18519,35.849056,76.27119,59.756096,74.117645,26.865671,53.08642,83.67347
15,79.9173743401423,100.0,92.92929,81.25,84.33735,100.0,91.02564,82.5,93.15069,97.05882,93.93939,91.666664,52.307693,67.1875,82.89474,98.630135,70.96774,64.70588,58.139534,97.53086,90.0,72.413795,92.94118,100.0,24.561403,75.0,100.0,82.69231,96.666664,86.111115,96.0,97.59036,84.61539,86.56716,0.0,71.830986,69.565216,93.333336,94.82758,58.82353,51.5625,60.0,75.0,83.07692,76.27119,82.089554,100.0,67.92453,80.30303,97.333336,87.80488,88.31169,78.43137,69.69697,84.41558,95.454544,74.60317,33.333332,85.18519,37.735847,67.79661,64.63415,63.52941,26.865671,72.83951,81.63265
16,80.90429194399816,96.51163,92.92929,89.0625,85.54217,98.9899,88.46154,90.0,94.520546,100.0,93.93939,93.75,67.69231,62.5,81.57895,95.89041,66.129036,64.70588,65.11628,96.296295,88.333336,77.586205,91.76471,100.0,35.08772,66.666664,100.0,80.76923,95.0,80.55556,92.0,97.59036,82.051285,89.55224,17.391304,73.23943,76.08696,91.666664,96.55173,58.82353,51.5625,63.333332,75.0,84.61539,62.711864,73.13433,96.15385,69.81132,81.818184,97.333336,87.80488,90.90909,74.5098,80.30303,81.818184,97.72727,85.71429,65.4321,87.03704,35.849056,76.27119,68.29269,61.17647,29.850746,59.25926,83.67347
