epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
0,56.1598681436923,89.189186,43.90244,51.851852,62.5,88.0,66.666664,40.0,33.333332,75.0,85.52631,68.115944,44.0,56.81818,35.0,82.5,52.173912,60.0,5.5555553,52.38095,44.444443,63.636364,56.52174,91.111115,10.0,21.73913,67.5,20.0,40.50633,69.565216,83.333336,44.444443,46.938774,56.862743,0.0,28.571428,12.5,77.77778,83.67347,23.809525,40.0,31.578947,63.157894,55.0,38.46154,21.052631,44.444443,25.0,55.31915,65.30612,80.0,55.0,70.0,83.333336,53.658535,60.869564,55.0,75.0,56.52174,62.5,37.5,52.272728,27.906977,65.0,38.095238,50.0
1,57.43716521826997,90.54054,39.02439,40.74074,80.0,94.666664,72.72727,42.5,33.333332,80.0,81.57895,57.971016,52.0,54.545456,45.0,80.0,30.434782,53.333332,5.5555553,57.142857,53.333332,59.090908,41.304348,91.111115,10.0,19.565218,70.0,27.5,41.772152,63.04348,100.0,43.055557,55.10204,60.784313,0.0,9.523809,43.75,72.22222,89.79592,28.571428,45.0,57.894737,68.42105,70.0,42.307693,21.052631,55.555557,37.5,44.68085,61.22449,80.0,40.0,80.0,73.809525,56.09756,71.73913,47.5,75.0,65.21739,67.5,43.75,59.090908,23.255814,65.0,33.333332,56.25
2,57.51957148900482,93.24324,41.463413,48.148148,80.0,93.333336,66.666664,42.5,33.333332,70.0,80.26316,55.072464,60.0,40.909092,37.5,75.0,52.173912,60.0,11.111111,57.142857,53.333332,72.72727,50.0,92.22222,20.0,36.95652,72.5,32.5,55.6962,60.869564,94.44444,50.0,53.061226,62.7451,0.0,16.666666,21.875,77.77778,85.71429,23.809525,30.0,47.36842,63.157894,75.0,46.153847,15.789474,44.444443,25.0,42.553192,51.02041,73.333336,45.0,76.666664,76.190475,48.780487,65.21739,55.0,65.0,45.652172,75.0,50.0,63.636364,27.906977,70.0,33.333332,75.0
3,59.826946824383825,91.89189,51.219513,44.444443,82.5,93.333336,71.71717,37.5,39.39394,55.0,80.26316,55.072464,56.0,52.272728,50.0,82.5,34.782608,46.666668,11.111111,52.38095,62.22222,59.090908,60.869564,91.111115,10.0,43.47826,77.5,45.0,49.36709,73.91304,100.0,56.944443,73.46939,68.62745,5.0,14.285714,18.75,88.888885,91.83673,38.095238,35.0,52.63158,68.42105,70.0,42.307693,26.31579,55.555557,33.333332,42.553192,55.10204,73.333336,45.0,76.666664,69.04762,48.780487,60.869564,52.5,70.0,60.869564,70.0,50.0,61.363636,23.255814,60.0,52.38095,62.5
4,60.733415716019586,91.89189,60.97561,55.555557,65.0,89.333336,75.757576,45.0,42.424244,65.0,80.26316,63.768116,52.0,54.545456,70.0,75.0,30.434782,60.0,5.5555553,57.142857,51.11111,68.181816,60.869564,92.22222,15.0,26.086956,77.5,47.5,60.759495,76.08696,94.44444,43.055557,75.5102,54.901962,5.0,16.666666,18.75,88.888885,97.95918,19.047619,35.0,52.63158,68.42105,80.0,46.153847,31.578947,61.11111,41.666668,42.553192,61.22449,73.333336,55.0,76.666664,66.666664,51.219513,71.73913,35.0,70.0,65.21739,75.0,62.5,63.636364,25.581396,70.0,42.857143,62.5
5,62.216728477650925,91.89189,53.658535,48.148148,82.5,96.0,78.78788,50.0,45.454544,70.0,84.210526,62.31884,48.0,50.0,60.0,82.5,43.47826,53.333332,5.5555553,61.904762,53.333332,63.636364,67.391304,93.333336,10.0,28.26087,87.5,45.0,60.759495,73.91304,100.0,51.38889,55.10204,68.62745,5.0,28.571428,31.25,83.333336,97.95918,28.571428,30.0,47.36842,68.42105,85.0,50.0,31.578947,61.11111,25.0,44.68085,61.22449,86.666664,55.0,76.666664,71.42857,48.780487,71.73913,42.5,70.0,54.347828,75.0,62.5,65.90909,30.232557,70.0,47.61905,56.25
6,62.91718171209674,95.945946,70.731705,44.444443,90.0,96.0,78.78788,47.5,42.424244,70.0,85.52631,65.21739,52.0,50.0,57.5,77.5,39.130436,53.333332,5.5555553,61.904762,60.0,72.72727,67.391304,93.333336,25.0,30.434782,80.0,37.5,64.55696,78.26087,100.0,52.77778,42.857143,68.62745,5.0,21.428572,15.625,83.333336,97.95918,38.095238,35.0,52.63158,68.42105,90.0,42.307693,36.842106,61.11111,29.166666,44.68085,51.02041,86.666664,65.0,76.666664,71.42857,60.97561,78.26087,45.0,75.0,63.04348,80.0,50.0,63.636364,27.906977,65.0,42.857143,56.25
7,63.411619289352615,91.89189,60.97561,51.851852,85.0,98.666664,72.72727,55.0,33.333332,80.0,82.89474,66.666664,52.0,54.545456,60.0,75.0,30.434782,60.0,11.111111,76.190475,64.44444,77.27273,67.391304,95.55556,20.0,15.217391,82.5,32.5,64.55696,82.608696,100.0,45.833332,71.42857,62.7451,5.0,26.190475,25.0,88.888885,100.0,23.809525,25.0,57.894737,63.157894,80.0,53.846153,36.842106,61.11111,33.333332,55.31915,53.061226,86.666664,55.0,76.666664,73.809525,60.97561,73.91304,45.0,85.0,71.73913,82.5,62.5,54.545456,27.906977,65.0,47.61905,56.25
8,64.48290070674034,91.89189,65.85366,55.555557,90.0,97.333336,81.818184,55.0,36.363636,80.0,86.8421,69.565216,52.0,54.545456,65.0,80.0,26.086956,60.0,5.5555553,61.904762,60.0,77.27273,71.73913,90.0,15.0,36.95652,87.5,40.0,68.35443,82.608696,100.0,55.555557,65.30612,66.666664,5.0,30.952381,18.75,94.44444,100.0,42.857143,30.0,63.157894,68.42105,85.0,53.846153,15.789474,61.11111,33.333332,53.19149,46.938774,86.666664,65.0,73.333336,71.42857,51.219513,69.565216,45.0,85.0,65.21739,85.0,37.5,61.363636,23.255814,65.0,47.61905,56.25
10,64.68891636393028,91.89189,60.97561,62.962963,80.0,98.666664,80.80808,52.5,39.39394,90.0,88.1579,69.565216,44.0,54.545456,70.0,85.0,17.391304,60.0,5.5555553,76.190475,62.22222,68.181816,63.04348,93.333336,20.0,34.782608,87.5,37.5,74.68355,76.08696,100.0,54.166668,81.63265,66.666664,10.0,19.047619,12.5,88.888885,100.0,33.333332,35.0,57.894737,68.42105,90.0,50.0,15.789474,55.555557,25.0,57.446808,48.97959,86.666664,65.0,80.0,71.42857,46.341465,78.26087,52.5,90.0,60.869564,87.5,43.75,65.90909,16.27907,60.0,47.61905,56.25
