epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
0,65.39761207822906,67.08861,64.64646,62.903225,69.76744,95.454544,75.80645,80.85107,71.604935,82.71605,42.857143,80.80808,15.384615,43.75,77.27273,69.333336,57.831326,95.522385,9.756098,71.64179,56.896553,77.46479,18.181818,95.60439,31.11111,65.85366,88.0597,85.96491,74.44444,76.388885,95.959595,48.780487,50.0,63.636364,30.357143,93.87755,63.88889,85.416664,87.80488,39.784946,92.64706,80.0,68.085106,50.0,47.5,26.31579,85.85859,0.0,67.441864,81.355934,75.86207,89.89899,77.5,51.02041,89.13043,71.71717,60.465115,42.424244,68.085106,2.631579,91.666664,65.51724,11.904762,71.111115,60.215054,72.44898
2,65.89321917632486,69.620255,76.76768,38.70968,48.837208,95.454544,80.645164,85.106384,65.4321,86.419754,44.642857,84.84849,20.0,54.166668,71.59091,68.0,46.987953,94.029854,14.634147,88.0597,60.344826,80.28169,25.252525,100.0,27.777779,75.60976,94.029854,87.7193,77.77778,65.27778,98.9899,43.90244,48.148148,58.585857,17.857143,76.53061,47.22222,87.5,90.243904,41.935482,80.882355,84.28571,70.21277,60.0,47.5,10.526316,90.90909,9.302325,65.11628,61.01695,77.586205,84.84849,87.5,51.02041,86.95652,69.69697,76.74419,39.39394,70.21277,43.42105,83.333336,72.413795,21.428572,71.111115,58.064518,80.61224
3,68.73169631081461,72.1519,84.84849,33.870968,72.093025,95.454544,82.258064,82.97872,72.83951,86.419754,46.42857,83.83839,23.076923,61.458332,85.22727,74.666664,48.192772,94.029854,14.634147,85.07462,65.51724,76.056335,37.373737,100.0,20.0,82.92683,91.04478,91.22807,80.0,79.166664,100.0,58.536587,62.962963,64.64646,28.571428,91.83673,56.944443,87.5,85.36585,47.31183,95.588234,81.42857,68.085106,48.333332,45.0,10.526316,91.91919,6.976744,62.7907,72.881355,82.75862,88.888885,90.0,48.97959,78.26087,72.72727,58.139534,46.464645,78.723404,30.263159,88.333336,79.31035,21.428572,62.22222,60.215054,77.55102
5,70.51137640863476,84.81013,85.85859,40.322582,60.465115,95.454544,75.80645,85.106384,66.666664,95.06173,58.92857,84.84849,20.0,59.375,86.36364,78.666664,46.987953,92.537315,4.878049,89.55224,58.62069,80.28169,26.262627,98.9011,25.555555,78.04878,92.537315,89.47369,88.888885,68.05556,98.9899,65.85366,61.11111,63.636364,19.642857,91.83673,50.0,87.5,87.80488,61.29032,98.52941,82.85714,74.46809,61.666668,57.5,34.210526,94.94949,11.627907,76.74419,76.27119,82.75862,92.92929,82.5,51.02041,93.478264,75.757576,72.093025,42.424244,74.46809,34.210526,88.333336,74.13793,23.809525,64.44444,73.11828,81.63265
6,71.20973190441677,87.341774,93.93939,50.0,95.34884,93.181816,74.19355,82.97872,61.728394,95.06173,75.0,85.85859,18.461538,58.333332,88.63636,82.666664,46.987953,91.04478,7.3170733,88.0597,62.068966,78.87324,22.222221,98.9011,28.88889,80.48781,92.537315,87.7193,92.22222,72.22222,97.9798,70.731705,72.22222,68.68687,23.214285,96.938774,63.88889,78.125,85.36585,60.215054,100.0,81.42857,76.59574,55.0,42.5,18.421053,95.959595,6.976744,69.76744,62.711864,91.37931,89.89899,87.5,48.97959,82.608696,73.73737,72.093025,44.444443,74.46809,22.368422,88.333336,87.93104,16.666666,73.333336,72.043015,82.65306
7,72.24600133446859,88.6076,89.89899,56.451614,81.39535,90.90909,74.19355,87.23404,56.790123,95.06173,78.57143,86.86869,23.076923,62.5,90.90909,82.666664,38.55422,92.537315,7.3170733,88.0597,63.793102,77.46479,30.30303,98.9011,24.444445,70.731705,92.537315,92.98245,92.22222,76.388885,98.9899,68.29269,66.666664,62.626263,25.0,87.755104,70.833336,88.541664,85.36585,58.064518,98.52941,88.57143,78.723404,46.666668,62.5,13.157895,95.959595,4.6511626,60.465115,69.49152,86.206894,93.93939,87.5,51.02041,84.78261,75.757576,81.39535,53.535355,89.3617,43.42105,88.333336,91.37931,9.523809,68.888885,75.268814,82.65306
8,73.86798826846272,87.341774,92.92929,69.354836,95.34884,95.454544,87.09677,87.23404,66.666664,97.53086,75.0,85.85859,26.153847,65.625,85.22727,86.666664,43.373493,92.537315,2.4390244,89.55224,67.24138,76.056335,29.292929,98.9011,28.88889,78.04878,92.537315,89.47369,92.22222,75.0,97.9798,73.17073,72.22222,70.70707,23.214285,95.918365,56.944443,88.541664,90.243904,70.96774,98.52941,91.42857,78.723404,55.0,60.0,15.789474,93.93939,9.302325,67.441864,69.49152,84.48276,92.92929,87.5,48.97959,86.95652,79.79798,72.093025,62.626263,85.106384,42.105263,88.333336,87.93104,9.523809,71.111115,70.96774,79.591835
19,73.89051588539283,88.6076,92.92929,70.96774,100.0,97.72727,87.09677,91.489365,62.962963,98.765434,82.14286,86.86869,15.384615,66.666664,84.09091,88.0,40.963856,89.55224,0.0,98.50746,72.413795,81.69014,16.161615,98.9011,30.0,87.80488,95.522385,92.98245,91.111115,45.833332,98.9899,75.60976,81.48148,76.76768,26.785715,91.83673,52.77778,93.75,87.80488,63.44086,91.17647,85.71429,78.723404,58.333332,62.5,7.894737,95.959595,4.6511626,58.139534,64.40678,84.48276,94.94949,82.5,69.38776,82.608696,75.757576,58.139534,53.535355,85.106384,80.26316,93.333336,93.10345,9.523809,66.666664,72.043015,82.65306
20,73.98062627061474,88.6076,92.92929,72.58064,97.674416,97.72727,87.09677,89.3617,62.962963,97.53086,85.71429,87.878784,10.769231,64.583336,87.5,85.333336,40.963856,89.55224,0.0,98.50746,68.965515,80.28169,19.19192,98.9011,34.444443,87.80488,92.537315,91.22807,87.77778,45.833332,98.9899,73.17073,79.62963,75.757576,30.357143,92.85714,62.5,92.708336,87.80488,64.51613,95.588234,88.57143,76.59574,56.666668,57.5,7.894737,93.93939,2.3255813,58.139534,64.40678,86.206894,92.92929,82.5,67.34694,82.608696,70.70707,58.139534,66.666664,80.85107,80.26316,93.333336,91.37931,14.285714,66.666664,70.96774,82.65306
21,74.09326424268914,87.341774,89.89899,70.96774,100.0,95.454544,88.70968,91.489365,62.962963,97.53086,85.71429,87.878784,6.1538463,65.625,86.36364,86.666664,45.78313,88.0597,0.0,98.50746,70.68965,78.87324,18.181818,98.9011,27.777779,80.48781,92.537315,91.22807,91.111115,47.22222,100.0,73.17073,77.77778,76.76768,26.785715,95.918365,55.555557,93.75,87.80488,63.44086,97.05882,85.71429,78.723404,58.333332,62.5,10.526316,92.92929,6.976744,58.139534,66.10169,86.206894,93.93939,82.5,67.34694,78.26087,68.68687,62.7907,81.818184,82.97872,81.57895,93.333336,91.37931,9.523809,66.666664,70.96774,78.57143
22,74.63392655316117,87.341774,91.91919,75.80645,100.0,95.454544,88.70968,89.3617,69.1358,97.53086,85.71429,87.878784,15.384615,67.708336,85.22727,89.333336,48.192772,88.0597,0.0,97.01492,72.413795,76.056335,25.252525,98.9011,26.666666,85.36585,92.537315,89.47369,92.22222,43.055557,97.9798,70.731705,77.77778,77.77778,26.785715,92.85714,61.11111,92.708336,87.80488,65.5914,97.05882,85.71429,82.97872,58.333332,60.0,7.894737,92.92929,13.953488,58.139534,64.40678,84.48276,95.959595,85.0,67.34694,84.78261,72.72727,67.441864,68.68687,82.97872,78.947365,90.0,89.655174,9.523809,66.666664,72.043015,83.67347
