epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
0,65.39761207822906,67.08861,64.64646,62.903225,69.76744,95.454544,75.80645,80.85107,71.604935,82.71605,42.857143,80.80808,15.384615,43.75,77.27273,69.333336,57.831326,95.522385,9.756098,71.64179,56.896553,77.46479,18.181818,95.60439,31.11111,65.85366,88.0597,85.96491,74.44444,76.388885,95.959595,48.780487,50.0,63.636364,30.357143,93.87755,63.88889,85.416664,87.80488,39.784946,92.64706,80.0,68.085106,50.0,47.5,26.31579,85.85859,0.0,67.441864,81.355934,75.86207,89.89899,77.5,51.02041,89.13043,71.71717,60.465115,42.424244,68.085106,2.631579,91.666664,65.51724,11.904762,71.111115,60.215054,72.44898
3,66.16355033199055,67.08861,74.747475,33.870968,69.76744,95.454544,75.80645,82.97872,75.30864,66.666664,41.07143,81.818184,26.153847,61.458332,80.681816,73.333336,49.39759,92.537315,14.634147,76.1194,62.068966,76.056335,33.333332,97.8022,22.222221,78.04878,88.0597,91.22807,77.77778,77.77778,100.0,60.97561,57.407406,64.64646,25.0,90.81633,52.77778,85.416664,85.36585,45.16129,86.76471,81.42857,72.34042,45.0,42.5,7.894737,84.84849,11.627907,58.139534,67.79661,77.586205,85.85859,87.5,46.938774,80.434784,71.71717,58.139534,43.434345,78.723404,26.31579,86.666664,70.68965,19.047619,55.555557,64.51613,73.46939
5,66.38882631566992,64.55696,73.73737,35.48387,53.488373,95.454544,67.741936,85.106384,74.07407,91.358025,53.57143,86.86869,16.923077,57.291668,76.13636,68.0,44.578312,91.04478,4.878049,88.0597,55.172413,78.87324,22.222221,98.9011,27.777779,75.60976,91.04478,87.7193,82.22222,68.05556,98.9899,65.85366,48.148148,59.59596,19.642857,93.87755,41.666668,87.5,87.80488,54.83871,92.64706,84.28571,70.21277,58.333332,52.5,31.578947,87.878784,9.302325,74.4186,76.27119,79.31035,83.83839,82.5,53.061226,82.608696,72.72727,62.7907,37.373737,72.34042,27.631578,86.666664,53.448277,21.428572,64.44444,62.365593,71.42857
6,67.38004054279847,65.822784,89.89899,38.70968,86.04651,95.454544,69.354836,80.85107,72.83951,92.59259,60.714287,84.84849,15.384615,63.541668,78.40909,72.0,45.78313,91.04478,14.634147,85.07462,58.62069,73.23943,23.232323,98.9011,31.11111,75.60976,91.04478,85.96491,82.22222,73.611115,94.94949,68.29269,48.148148,65.65656,23.214285,94.89796,54.166668,77.083336,85.36585,47.31183,91.17647,82.85714,72.34042,60.0,45.0,23.68421,89.89899,6.976744,67.441864,57.627117,89.655174,77.77778,90.0,48.97959,78.26087,70.70707,58.139534,35.353535,74.46809,17.105263,86.666664,79.31035,23.809525,71.111115,68.81721,74.4898
7,70.44379363003065,87.341774,87.878784,48.387096,51.162792,90.90909,67.741936,85.106384,62.962963,96.296295,73.21429,86.86869,29.23077,66.666664,89.77273,78.666664,38.55422,92.537315,12.195122,91.04478,65.51724,77.46479,27.272728,98.9011,24.444445,70.731705,91.04478,91.22807,86.666664,81.94444,97.9798,60.97561,55.555557,59.59596,19.642857,93.87755,65.27778,89.583336,85.36585,47.31183,98.52941,91.42857,80.85107,45.0,50.0,10.526316,91.91919,4.6511626,55.813953,67.79661,84.48276,91.91919,87.5,59.183674,93.478264,72.72727,76.74419,41.414143,89.3617,32.894737,86.666664,86.206894,14.285714,68.888885,74.19355,79.591835
8,72.9443568302506,86.07595,89.89899,70.96774,76.74419,95.454544,87.09677,85.106384,70.37037,97.53086,75.0,85.85859,35.384617,68.75,88.63636,86.666664,48.192772,92.537315,2.4390244,89.55224,68.965515,77.46479,29.292929,98.9011,22.222221,75.60976,94.029854,91.22807,92.22222,83.333336,97.9798,68.29269,74.07407,68.68687,19.642857,97.95918,52.77778,88.541664,87.80488,68.81721,98.52941,92.85714,80.85107,51.666668,47.5,21.052631,95.959595,9.302325,58.139534,62.711864,84.48276,90.90909,85.0,61.22449,89.13043,76.76768,55.813953,51.515152,85.106384,22.368422,86.666664,84.48276,11.904762,73.333336,74.19355,76.53061
9,73.93557105737915,86.07595,94.94949,77.41936,90.69768,95.454544,88.70968,85.106384,70.37037,97.53086,76.78571,86.86869,26.153847,64.583336,88.63636,89.333336,45.78313,92.537315,7.3170733,85.07462,67.24138,76.056335,11.111111,98.9011,26.666666,80.48781,92.537315,89.47369,92.22222,80.55556,98.9899,65.85366,77.77778,74.747475,25.0,94.89796,61.11111,89.583336,87.80488,70.96774,98.52941,91.42857,80.85107,60.0,60.0,10.526316,96.969696,9.302325,53.488373,55.932205,84.48276,92.92929,80.0,59.183674,100.0,80.80808,51.162792,41.414143,78.723404,61.842106,86.666664,86.206894,9.523809,73.333336,81.72043,84.69388
11,75.06195087265286,87.341774,93.93939,79.03226,97.674416,97.72727,88.70968,91.489365,77.77778,96.296295,82.14286,84.84849,33.846153,70.833336,90.90909,85.333336,40.963856,94.029854,0.0,95.522385,68.965515,78.87324,11.111111,100.0,21.11111,73.17073,92.537315,94.73684,93.333336,81.94444,100.0,68.29269,75.92593,67.676765,26.785715,93.87755,58.333332,90.625,87.80488,69.89247,98.52941,80.0,82.97872,48.333332,62.5,7.894737,95.959595,6.976744,55.813953,72.881355,89.655174,92.92929,72.5,57.142857,95.652176,79.79798,72.093025,52.525253,91.489365,80.26316,91.666664,89.655174,9.523809,75.55556,76.344086,84.69388
13,75.58008557736645,88.6076,97.9798,79.03226,95.34884,97.72727,85.48387,89.3617,72.83951,97.53086,82.14286,85.85859,30.76923,73.958336,90.90909,89.333336,53.012047,88.0597,2.4390244,94.029854,68.965515,77.46479,7.070707,98.9011,17.777779,87.80488,92.537315,92.98245,92.22222,76.388885,98.9899,65.85366,70.37037,74.747475,23.214285,94.89796,62.5,94.791664,90.243904,67.741936,97.05882,91.42857,85.106384,56.666668,65.0,13.157895,96.969696,4.6511626,51.162792,71.18644,86.206894,93.93939,87.5,65.30612,86.95652,77.77778,83.72093,56.565655,80.85107,76.31579,90.0,91.37931,7.142857,68.888885,78.49462,85.71429
14,76.413606640669,88.6076,95.959595,75.80645,95.34884,97.72727,90.32258,85.106384,56.790123,97.53086,80.35714,85.85859,33.846153,72.916664,90.90909,90.666664,60.240963,92.537315,12.195122,97.01492,70.68965,78.87324,9.090909,98.9011,20.0,87.80488,92.537315,89.47369,93.333336,75.0,98.9899,75.60976,77.77778,75.757576,30.357143,96.938774,68.05556,95.833336,90.243904,72.043015,97.05882,87.14286,82.97872,55.0,80.0,10.526316,95.959595,11.627907,53.488373,62.711864,84.48276,91.91919,87.5,67.34694,93.478264,76.76768,69.76744,60.60606,80.85107,77.63158,95.0,96.55173,4.7619047,77.77778,81.72043,85.71429
