epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
0,65.87101216433325,77.906975,78.78788,31.25,73.49397,98.9899,85.89744,55.0,76.712326,97.05882,87.878784,92.708336,16.923077,53.125,68.42105,80.821915,40.322582,64.70588,13.953488,83.950615,71.666664,68.965515,32.941177,100.0,50.877193,38.88889,76.666664,69.23077,91.666664,72.22222,78.666664,89.156624,52.564102,82.089554,21.73913,57.74648,52.173912,83.333336,89.655174,55.882355,56.25,60.0,47.058823,58.46154,67.79661,22.38806,98.07692,22.64151,75.757576,54.666668,80.48781,89.61039,66.666664,54.545456,67.53247,90.90909,57.142857,43.209877,62.962963,58.490566,52.542374,79.268295,14.117647,47.761192,60.493828,61.22449
1,67.3858159283911,81.39535,85.85859,34.375,85.54217,100.0,66.666664,61.25,54.79452,97.05882,86.86869,93.75,24.615385,46.875,67.10526,73.9726,38.70968,68.62745,18.60465,88.888885,78.333336,62.068966,34.117645,100.0,54.385963,52.77778,81.666664,82.69231,88.333336,72.22222,96.0,68.6747,57.692307,85.07462,17.391304,43.661972,78.26087,90.0,91.37931,52.941177,50.0,70.0,52.941177,58.46154,71.18644,22.38806,94.23077,32.07547,65.15151,52.0,90.243904,90.90909,80.39216,53.030304,70.12987,94.318184,79.36508,58.024693,62.962963,67.92453,59.322033,86.585365,17.647058,58.208954,34.5679,61.22449
2,68.55634610970851,76.74419,84.84849,51.5625,61.44578,97.9798,71.79487,38.75,72.60274,97.05882,84.84849,92.708336,29.23077,45.3125,78.947365,68.49315,45.16129,64.70588,25.581396,88.888885,78.333336,65.51724,40.0,100.0,52.63158,33.333332,88.333336,90.38461,91.666664,72.22222,94.666664,71.084335,64.10256,86.56716,8.695652,63.380283,56.52174,88.333336,91.37931,60.294117,50.0,73.333336,54.411766,83.07692,40.677967,35.820896,100.0,28.301888,63.636364,49.333332,90.243904,96.1039,66.666664,60.60606,70.12987,90.90909,76.190475,58.024693,75.92593,47.16981,72.881355,84.14634,29.411764,55.22388,55.555557,73.46939
3,69.49736056919899,82.558136,81.818184,42.1875,62.650604,98.9899,79.48718,66.25,64.38356,98.52941,82.828285,96.875,33.846153,56.25,72.36842,80.821915,33.870968,70.588234,37.2093,86.419754,80.0,68.965515,61.17647,100.0,59.649124,58.333332,81.666664,90.38461,93.333336,70.833336,97.333336,68.6747,71.79487,83.58209,8.695652,42.25352,56.52174,90.0,91.37931,50.0,53.125,70.0,55.882355,70.76923,64.40678,28.35821,100.0,45.28302,74.242424,52.0,85.36585,94.80519,68.62745,62.121212,66.233765,92.045456,71.42857,56.790123,55.555557,60.377357,61.01695,86.585365,30.588236,49.25373,48.148148,65.30612
4,70.85150332797797,81.39535,89.89899,57.8125,61.44578,98.9899,75.64103,53.75,67.12329,97.05882,89.89899,91.666664,26.153847,48.4375,88.1579,76.712326,35.48387,68.62745,39.534885,87.65432,81.666664,68.965515,57.64706,100.0,61.403507,52.77778,86.666664,90.38461,90.0,68.05556,100.0,74.69879,61.53846,86.56716,8.695652,45.070423,65.21739,90.0,91.37931,48.52941,57.8125,73.333336,52.941177,75.38461,59.322033,25.373135,100.0,33.962265,77.27273,69.333336,82.92683,93.50649,74.5098,65.15151,62.33766,90.90909,82.53968,60.493828,81.48148,67.92453,71.18644,86.585365,28.235294,53.731342,54.320988,69.38776
5,71.1039706219876,86.04651,85.85859,43.75,79.518074,100.0,84.61539,75.0,69.863014,97.05882,90.90909,94.791664,27.692308,56.25,69.73684,82.19178,40.322582,66.666664,34.88372,85.18519,81.666664,67.24138,51.764706,100.0,64.91228,58.333332,88.333336,90.38461,96.666664,68.05556,90.666664,79.518074,67.948715,85.07462,13.043478,43.661972,32.608696,86.666664,93.10345,50.0,51.5625,73.333336,51.47059,61.53846,74.57627,32.83582,100.0,35.849056,69.69697,68.0,85.36585,94.80519,68.62745,65.15151,75.32468,93.181816,76.190475,54.320988,70.37037,56.603775,81.355934,86.585365,25.882353,53.731342,48.148148,83.67347
6,71.60890521000688,84.88372,86.86869,56.25,80.72289,100.0,88.46154,80.0,76.712326,97.05882,89.89899,93.75,30.76923,32.8125,75.0,84.9315,33.870968,66.666664,32.55814,90.12346,86.666664,65.51724,51.764706,100.0,64.91228,69.44444,93.333336,92.30769,95.0,73.611115,96.0,71.084335,67.948715,86.56716,8.695652,50.704224,34.782608,86.666664,93.10345,51.47059,56.25,80.0,52.941177,70.76923,72.881355,26.865671,100.0,32.07547,78.78788,60.0,87.80488,93.50649,74.5098,62.121212,74.02597,92.045456,69.84127,61.728394,48.148148,79.245285,86.44068,82.92683,24.705883,58.208954,39.506172,69.38776
7,72.45811338076658,83.72093,92.92929,48.4375,74.69879,98.9899,80.76923,76.25,67.12329,98.52941,94.94949,93.75,30.76923,54.6875,75.0,80.821915,30.64516,68.62745,34.88372,91.358025,86.666664,79.31035,64.70588,100.0,66.666664,58.333332,88.333336,92.30769,95.0,75.0,97.333336,77.10844,69.23077,85.07462,17.391304,54.929577,65.21739,86.666664,93.10345,58.82353,43.75,73.333336,58.82353,70.76923,77.9661,31.343283,100.0,30.188679,62.121212,57.333332,87.80488,93.50649,74.5098,54.545456,72.72727,95.454544,77.77778,72.83951,61.11111,66.037735,79.66102,85.36585,18.82353,52.238808,49.382717,75.5102
8,72.84829010787239,82.558136,91.91919,56.25,78.313255,100.0,87.17949,66.25,63.0137,97.05882,94.94949,93.75,32.307693,54.6875,72.36842,86.30137,41.935482,68.62745,25.581396,88.888885,85.0,60.344826,62.35294,100.0,68.42105,63.88889,96.666664,92.30769,96.666664,76.388885,98.666664,85.54217,61.53846,86.56716,21.73913,39.43662,56.52174,86.666664,93.10345,54.411766,48.4375,73.333336,51.47059,81.53846,59.322033,34.328358,100.0,30.188679,84.84849,57.333332,90.243904,94.80519,74.5098,66.666664,72.72727,93.181816,71.42857,64.19753,70.37037,66.037735,79.66102,85.36585,22.352942,67.16418,56.790123,73.46939
9,73.72044985081479,80.23256,93.93939,62.5,80.72289,100.0,75.64103,76.25,76.712326,98.52941,92.92929,90.625,26.153847,54.6875,67.10526,90.41096,33.870968,66.666664,39.534885,90.12346,85.0,81.034485,65.882355,100.0,68.42105,55.555557,90.0,94.23077,91.666664,72.22222,98.666664,80.72289,67.948715,85.07462,8.695652,52.112675,45.652172,96.666664,94.82758,57.35294,45.3125,76.666664,54.411766,84.61539,62.711864,40.298508,100.0,33.962265,84.84849,57.333332,90.243904,94.80519,74.5098,65.15151,72.72727,93.181816,77.77778,70.37037,79.62963,56.603775,84.745766,84.14634,14.117647,74.62687,54.320988,75.5102
