epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
0,65.87101216433325,77.906975,78.78788,31.25,73.49397,98.9899,85.89744,55.0,76.712326,97.05882,87.878784,92.708336,16.923077,53.125,68.42105,80.821915,40.322582,64.70588,13.953488,83.950615,71.666664,68.965515,32.941177,100.0,50.877193,38.88889,76.666664,69.23077,91.666664,72.22222,78.666664,89.156624,52.564102,82.089554,21.73913,57.74648,52.173912,83.333336,89.655174,55.882355,56.25,60.0,47.058823,58.46154,67.79661,22.38806,98.07692,22.64151,75.757576,54.666668,80.48781,89.61039,66.666664,54.545456,67.53247,90.90909,57.142857,43.209877,62.962963,58.490566,52.542374,79.268295,14.117647,47.761192,60.493828,61.22449
1,67.22515492311223,80.23256,86.86869,32.8125,86.74699,100.0,67.948715,62.5,60.27397,97.05882,87.878784,93.75,26.153847,46.875,67.10526,71.23288,37.096775,68.62745,18.60465,87.65432,76.666664,63.793102,35.294117,100.0,56.14035,47.22222,81.666664,82.69231,88.333336,73.611115,96.0,65.06024,56.410255,83.58209,17.391304,42.25352,76.08696,88.333336,91.37931,54.411766,51.5625,73.333336,52.941177,55.384617,69.49152,22.38806,98.07692,33.962265,65.15151,49.333332,87.80488,90.90909,80.39216,46.969696,72.72727,94.318184,76.190475,58.024693,59.25926,66.037735,59.322033,86.585365,18.82353,59.701492,35.802467,61.22449
2,68.28092724351617,77.906975,85.85859,53.125,56.626507,97.9798,70.51282,37.5,76.712326,97.05882,83.83839,92.708336,29.23077,45.3125,77.63158,69.863014,45.16129,64.70588,27.906977,88.888885,78.333336,65.51724,36.47059,100.0,50.877193,30.555555,86.666664,90.38461,91.666664,72.22222,94.666664,71.084335,62.820515,86.56716,4.347826,61.971832,52.173912,88.333336,91.37931,58.82353,50.0,73.333336,48.52941,83.07692,45.76271,38.80597,100.0,28.301888,60.60606,49.333332,90.243904,93.50649,66.666664,60.60606,71.42857,92.045456,74.60317,59.25926,75.92593,45.28302,74.57627,84.14634,31.764706,52.238808,55.555557,75.5102
3,69.70392471884324,82.558136,81.818184,43.75,65.06024,100.0,76.92308,63.75,65.753426,98.52941,80.80808,95.833336,29.23077,60.9375,72.36842,79.45206,33.870968,70.588234,44.186047,82.71605,80.0,68.965515,61.17647,100.0,61.403507,61.11111,81.666664,92.30769,93.333336,72.22222,97.333336,66.26506,73.07692,82.089554,13.043478,45.070423,56.52174,93.333336,91.37931,52.941177,54.6875,70.0,54.411766,70.76923,61.01695,28.35821,100.0,45.28302,78.78788,50.666668,87.80488,94.80519,70.588234,62.121212,67.53247,90.90909,74.60317,53.08642,50.0,60.377357,62.711864,86.585365,29.411764,53.731342,49.382717,67.34694
4,70.7137938948818,81.39535,86.86869,59.375,63.855423,98.9899,74.35897,52.5,63.0137,97.05882,87.878784,92.708336,30.76923,50.0,82.89474,78.08219,30.64516,68.62745,37.2093,88.888885,81.666664,70.68965,58.82353,100.0,59.649124,52.77778,88.333336,90.38461,91.666664,65.27778,100.0,72.289154,64.10256,86.56716,8.695652,43.661972,63.04348,88.333336,91.37931,50.0,57.8125,73.333336,52.941177,76.92308,57.627117,25.373135,100.0,28.301888,77.27273,68.0,87.80488,93.50649,78.43137,65.15151,61.03896,90.90909,84.12698,60.493828,79.62963,69.81132,69.49152,86.585365,27.058823,52.238808,59.25926,73.46939
5,71.21872848290108,84.88372,86.86869,43.75,81.92771,100.0,83.333336,72.5,69.863014,97.05882,90.90909,94.791664,30.76923,54.6875,71.052635,84.9315,41.935482,68.62745,30.232557,83.950615,81.666664,68.965515,55.294117,100.0,63.157894,58.333332,86.666664,92.30769,93.333336,65.27778,92.0,77.10844,69.23077,85.07462,8.695652,50.704224,36.95652,90.0,93.10345,51.47059,53.125,70.0,51.47059,56.923077,81.355934,35.820896,98.07692,33.962265,69.69697,65.333336,82.92683,94.80519,68.62745,63.636364,74.02597,93.181816,73.01588,55.555557,72.22222,52.83019,81.355934,86.585365,23.529411,55.22388,48.148148,87.755104
6,71.5170989212761,83.72093,84.84849,56.25,79.518074,100.0,88.46154,81.25,79.45206,97.05882,88.888885,93.75,32.307693,31.25,73.68421,84.9315,29.032259,66.666664,32.55814,88.888885,86.666664,65.51724,55.294117,100.0,68.42105,66.666664,90.0,92.30769,95.0,72.22222,97.333336,71.084335,69.23077,86.56716,8.695652,52.112675,39.130436,85.0,93.10345,50.0,56.25,80.0,52.941177,67.69231,74.57627,26.865671,100.0,32.07547,80.30303,60.0,87.80488,93.50649,74.5098,62.121212,76.623375,93.181816,71.42857,62.962963,46.296295,77.35849,88.13559,82.92683,21.17647,58.208954,38.271606,67.34694
7,72.8253385356897,83.72093,92.92929,50.0,78.313255,100.0,82.051285,73.75,68.49315,98.52941,94.94949,93.75,32.307693,54.6875,73.68421,76.712326,25.806452,68.62745,39.534885,91.358025,86.666664,77.586205,67.05882,100.0,68.42105,58.333332,88.333336,92.30769,96.666664,73.611115,98.666664,78.313255,71.79487,83.58209,13.043478,54.929577,67.391304,86.666664,93.10345,58.82353,46.875,73.333336,57.35294,75.38461,77.9661,32.83582,100.0,32.07547,66.666664,58.666668,85.36585,93.50649,74.5098,56.060608,72.72727,93.181816,77.77778,75.30864,61.11111,66.037735,84.745766,85.36585,17.647058,49.25373,50.617283,73.46939
8,73.00895111315126,81.39535,92.92929,56.25,83.13253,100.0,88.46154,66.25,65.753426,97.05882,93.93939,93.75,30.76923,54.6875,73.68421,86.30137,45.16129,68.62745,25.581396,88.888885,85.0,62.068966,62.35294,100.0,71.929825,63.88889,96.666664,92.30769,91.666664,80.55556,98.666664,85.54217,61.53846,86.56716,17.391304,40.84507,58.695652,86.666664,93.10345,55.882355,48.4375,73.333336,51.47059,78.46154,64.40678,34.328358,100.0,26.415094,83.333336,56.0,90.243904,93.50649,74.5098,63.636364,71.42857,93.181816,66.666664,70.37037,72.22222,67.92453,79.66102,85.36585,21.17647,67.16418,51.851852,77.55102
9,73.62864356208401,81.39535,94.94949,64.0625,81.92771,100.0,75.64103,77.5,71.23288,97.05882,92.92929,92.708336,27.692308,53.125,68.42105,89.0411,37.096775,66.666664,41.860466,90.12346,83.333336,79.31035,63.52941,100.0,64.91228,58.333332,90.0,96.15385,91.666664,72.22222,98.666664,83.13253,66.666664,86.56716,8.695652,54.929577,45.652172,95.0,93.10345,60.294117,46.875,76.666664,54.411766,86.15385,64.40678,37.313435,100.0,32.07547,86.36364,57.333332,90.243904,94.80519,72.54902,62.121212,72.72727,93.181816,77.77778,67.90124,72.22222,54.71698,88.13559,85.36585,15.294118,67.16418,55.555557,75.5102
