epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
0,47.514318439531706,55.0,60.714287,17.1875,12.244898,66.666664,36.363636,43.835617,82.608696,61.53846,36.363636,70.70707,32.5,26.262627,57.8125,59.52381,41.463413,56.25,2.5,95.12195,32.0,77.5,87.5,71.71717,50.50505,27.868853,61.53846,54.545456,68.115944,77.5,41.414143,49.056602,55.0,72.72727,36.619717,58.585857,40.0,65.789474,75.757576,40.963856,32.5,66.666664,62.5,52.525253,27.272728,9.756098,27.586206,12.5,28.26087,22.5,73.13433,90.90909,48.0,19.047619,11.904762,53.488373,18.032787,40.0,31.666666,15.151515,70.0,20.20202,5.1282053,41.414143,62.264153,47.5
1,47.583046961868476,63.333332,64.28571,26.5625,11.22449,66.666664,40.40404,42.46575,82.608696,60.25641,24.242424,73.73737,15.0,35.353535,54.6875,66.666664,41.463413,58.333332,2.5,92.68293,38.0,77.5,85.0,68.68687,43.434345,27.868853,63.46154,53.535355,69.565216,77.5,55.555557,56.603775,42.5,74.747475,15.492958,49.49495,40.0,55.263157,66.666664,42.168674,45.0,60.784313,60.0,55.555557,30.30303,7.3170733,25.287355,10.0,50.0,45.0,80.597015,89.89899,45.333332,26.190475,21.428572,60.465115,16.393442,53.333332,33.333332,24.242424,53.75,23.232323,20.512821,27.272728,41.509434,50.0
2,49.30126002116165,60.0,55.357143,18.75,19.387754,64.64646,43.434345,39.72603,84.78261,55.128204,35.353535,70.70707,32.5,36.363636,68.75,47.61905,39.02439,50.0,2.5,95.12195,38.0,87.5,70.0,71.71717,42.424244,39.34426,71.15385,49.49495,66.666664,80.0,60.60606,52.83019,37.5,74.747475,40.84507,61.61616,57.5,40.789474,79.79798,39.759037,42.5,74.5098,67.5,53.535355,31.313131,4.878049,33.333332,17.5,41.304348,30.0,77.61194,96.969696,45.333332,33.333332,26.190475,53.488373,6.557377,54.444443,40.0,12.121212,63.75,22.222221,10.256411,39.39394,50.943398,62.5
3,51.56930125477934,66.666664,67.85714,26.5625,28.571428,69.69697,49.49495,42.46575,84.78261,55.128204,23.232323,67.676765,27.5,34.343433,68.75,69.04762,43.90244,62.5,7.5,95.12195,36.0,87.5,87.5,80.80808,36.363636,49.18033,84.61539,69.69697,65.21739,67.5,57.575756,56.603775,42.5,69.69697,28.169014,60.60606,65.0,60.526318,72.72727,56.626507,47.5,72.54902,75.0,44.444443,32.32323,2.4390244,37.931034,12.5,41.304348,32.5,76.1194,93.93939,44.0,30.952381,16.666666,53.488373,11.4754095,53.333332,31.666666,12.121212,70.0,30.30303,10.256411,43.434345,67.92453,70.0
4,53.264604805752995,75.0,76.78571,25.0,29.591837,72.72727,57.575756,41.09589,91.304344,60.25641,30.30303,75.757576,20.0,39.39394,67.1875,71.42857,43.90244,56.25,7.5,97.560974,38.0,87.5,90.0,82.828285,43.434345,42.62295,80.76923,64.64646,73.91304,72.5,60.60606,43.396225,45.0,78.78788,36.619717,57.575756,60.0,57.894737,73.73737,49.39759,47.5,74.5098,77.5,66.666664,25.252525,4.878049,37.931034,7.5,36.95652,40.0,80.597015,90.90909,62.666668,28.571428,7.142857,48.837208,14.754098,56.666668,41.666668,20.20202,67.5,24.242424,12.820513,34.343433,64.15094,67.5
5,54.753722782724914,78.333336,76.78571,29.6875,35.714287,78.78788,53.535355,43.835617,89.13043,60.25641,41.414143,65.65656,25.0,38.38384,68.75,80.95238,51.219513,58.333332,2.5,100.0,24.0,87.5,97.5,87.878784,51.515152,50.81967,80.76923,66.666664,72.46377,65.0,69.69697,56.603775,42.5,84.84849,36.619717,49.49495,65.0,63.157894,70.70707,48.192772,55.0,70.588234,75.0,63.636364,34.343433,7.3170733,48.275864,20.0,54.347828,32.5,80.597015,91.91919,46.666668,23.809525,16.666666,74.4186,14.754098,51.11111,28.333334,17.171717,67.5,26.262627,10.256411,35.353535,54.71698,80.0
6,56.403207315311676,83.333336,76.78571,23.4375,35.714287,74.747475,49.49495,42.46575,93.478264,62.820515,31.313131,66.666664,17.5,39.39394,73.4375,85.71429,51.219513,64.583336,10.0,97.560974,30.0,92.5,92.5,89.89899,52.525253,45.901638,82.69231,74.747475,73.91304,70.0,68.68687,60.377357,50.0,75.757576,38.028168,53.535355,70.0,67.10526,77.77778,63.855423,52.5,70.588234,75.0,64.64646,34.343433,4.878049,63.21839,10.0,54.347828,35.0,83.58209,91.91919,52.0,28.571428,11.904762,90.69768,18.032787,45.555557,36.666668,22.222221,65.0,23.232323,7.6923075,42.424244,64.15094,90.0
7,57.61741121342365,83.333336,80.35714,28.125,38.77551,78.78788,56.565655,31.50685,89.13043,62.820515,35.353535,73.73737,15.0,60.60606,70.3125,83.333336,48.780487,64.583336,0.0,100.0,28.0,87.5,97.5,90.90909,46.464645,45.901638,86.53846,80.80808,81.159424,82.5,66.666664,56.603775,52.5,77.77778,54.929577,51.515152,65.0,67.10526,78.78788,54.21687,55.0,66.666664,77.5,65.65656,34.343433,4.878049,66.666664,5.0,60.869564,37.5,83.58209,93.93939,49.333332,35.714287,2.3809524,72.093025,14.754098,47.77778,43.333332,22.222221,68.75,30.30303,2.5641026,39.39394,69.81132,87.5
9,58.808705597098616,83.333336,80.35714,34.375,35.714287,84.84849,57.575756,38.356163,91.304344,61.53846,40.40404,69.69697,17.5,51.515152,73.4375,90.47619,29.268293,62.5,0.0,95.12195,30.0,87.5,95.0,93.93939,46.464645,52.459015,90.38461,76.76768,82.608696,75.0,70.70707,49.056602,72.5,86.86869,66.19718,61.61616,72.5,72.36842,80.80808,59.036144,55.0,78.43137,77.5,64.64646,36.363636,4.878049,68.965515,10.0,63.04348,47.5,85.07462,94.94949,50.666668,26.190475,2.3809524,83.72093,11.4754095,45.555557,38.333332,15.151515,66.25,29.292929,0.0,34.343433,75.471695,90.0
10,59.5189003279119,85.0,76.78571,29.6875,40.816326,86.86869,53.535355,43.835617,91.304344,60.25641,43.434345,67.676765,15.0,51.515152,75.0,90.47619,36.585365,60.416668,2.5,95.12195,26.0,85.0,95.0,95.959595,57.575756,37.704918,90.38461,75.757576,78.26087,72.5,70.70707,49.056602,67.5,84.84849,59.15493,56.565655,67.5,72.36842,76.76768,63.855423,55.0,78.43137,77.5,71.71717,40.40404,2.4390244,68.965515,17.5,65.21739,50.0,85.07462,95.959595,50.666668,35.714287,2.3809524,93.023254,11.4754095,45.555557,41.666668,26.262627,68.75,35.353535,0.0,36.363636,73.58491,87.5
