epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
0,47.514318439531706,55.0,60.714287,17.1875,12.244898,66.666664,36.363636,43.835617,82.608696,61.53846,36.363636,70.70707,32.5,26.262627,57.8125,59.52381,41.463413,56.25,2.5,95.12195,32.0,77.5,87.5,71.71717,50.50505,27.868853,61.53846,54.545456,68.115944,77.5,41.414143,49.056602,55.0,72.72727,36.619717,58.585857,40.0,65.789474,75.757576,40.963856,32.5,66.666664,62.5,52.525253,27.272728,9.756098,27.586206,12.5,28.26087,22.5,73.13433,90.90909,48.0,19.047619,11.904762,53.488373,18.032787,40.0,31.666666,15.151515,70.0,20.20202,5.1282053,41.414143,62.264153,47.5
1,47.995418092393386,63.333332,58.92857,25.0,11.22449,66.666664,43.434345,46.575344,82.608696,60.25641,24.242424,73.73737,15.0,36.363636,54.6875,64.28571,41.463413,54.166668,2.5,90.243904,38.0,77.5,82.5,68.68687,42.424244,26.229507,63.46154,55.555557,71.014496,80.0,55.555557,54.71698,42.5,74.747475,18.309858,50.50505,42.5,57.894737,67.676765,43.373493,42.5,60.784313,60.0,57.575756,30.30303,7.3170733,26.43678,7.5,45.652172,45.0,79.10448,89.89899,46.666668,26.190475,21.428572,62.7907,19.67213,54.444443,31.666666,24.242424,57.5,24.242424,23.076923,29.292929,39.622643,57.5
2,49.34707903605283,61.666668,53.57143,17.1875,21.428572,65.65656,42.424244,39.72603,84.78261,56.410255,33.333332,70.70707,32.5,36.363636,70.3125,47.61905,39.02439,50.0,2.5,90.243904,38.0,82.5,70.0,71.71717,39.39394,37.704918,71.15385,48.484848,65.21739,80.0,61.61616,50.943398,40.0,75.757576,40.84507,61.61616,57.5,40.789474,78.78788,39.759037,42.5,72.54902,75.0,55.555557,31.313131,4.878049,33.333332,22.5,41.304348,30.0,77.61194,95.959595,45.333332,30.952381,26.190475,58.139534,4.9180326,55.555557,43.333332,13.131313,65.0,22.222221,10.256411,39.39394,49.056602,65.0
3,51.363115691264746,65.0,67.85714,26.5625,27.55102,69.69697,49.49495,42.46575,84.78261,53.846153,23.232323,66.666664,25.0,35.353535,70.3125,69.04762,41.463413,64.583336,5.0,95.12195,32.0,87.5,87.5,79.79798,37.373737,47.540985,84.61539,70.70707,63.768116,70.0,56.565655,54.71698,42.5,68.68687,26.760563,57.575756,65.0,60.526318,73.73737,51.807228,50.0,72.54902,75.0,44.444443,34.343433,4.878049,39.08046,12.5,39.130436,35.0,76.1194,94.94949,45.333332,28.571428,19.047619,53.488373,13.114754,54.444443,33.333332,11.111111,70.0,30.30303,12.820513,40.40404,69.81132,67.5
4,53.333333328089765,71.666664,76.78571,25.0,30.612246,72.72727,55.555557,36.9863,86.95652,60.25641,28.282827,75.757576,15.0,39.39394,67.1875,73.809525,46.341465,60.416668,7.5,97.560974,38.0,87.5,90.0,82.828285,42.424244,42.62295,80.76923,66.666664,71.014496,77.5,59.59596,43.396225,45.0,82.828285,39.43662,57.575756,62.5,57.894737,73.73737,51.807228,52.5,76.47059,77.5,65.65656,28.282827,4.878049,41.37931,10.0,41.304348,40.0,77.61194,88.888885,62.666668,28.571428,14.285714,46.511627,11.4754095,55.555557,40.0,19.19192,65.0,24.242424,17.948717,32.32323,64.15094,67.5
5,55.257731950023604,78.333336,76.78571,32.8125,35.714287,77.77778,54.545456,45.20548,91.304344,60.25641,41.414143,64.64646,22.5,40.40404,70.3125,80.95238,48.780487,58.333332,0.0,100.0,24.0,87.5,97.5,86.86869,51.515152,54.098362,78.84615,66.666664,71.014496,67.5,69.69697,60.377357,42.5,83.83839,38.028168,52.525253,65.0,63.157894,71.71717,50.60241,55.0,70.588234,70.0,64.64646,34.343433,4.878049,51.724136,22.5,54.347828,32.5,80.597015,93.93939,46.666668,21.428572,14.285714,74.4186,14.754098,54.444443,31.666666,18.181818,66.25,27.272728,15.384615,35.353535,58.490566,77.5
6,56.28865977808372,81.666664,75.0,23.4375,35.714287,74.747475,52.525253,43.835617,93.478264,65.38461,30.30303,66.666664,15.0,41.414143,70.3125,85.71429,43.90244,62.5,10.0,100.0,30.0,87.5,97.5,89.89899,50.50505,45.901638,84.61539,73.73737,73.91304,67.5,66.666664,60.377357,50.0,76.76768,43.661972,53.535355,70.0,67.10526,73.73737,62.650604,52.5,66.666664,75.0,64.64646,35.353535,4.878049,60.91954,10.0,58.695652,35.0,83.58209,91.91919,52.0,28.571428,11.904762,88.37209,18.032787,44.444443,36.666668,25.252525,66.25,23.232323,5.1282053,42.424244,66.037735,90.0
7,57.7319587506516,85.0,76.78571,28.125,39.795918,77.77778,60.60606,31.50685,95.652176,62.820515,37.373737,72.72727,10.0,60.60606,73.4375,85.71429,46.341465,58.333332,2.5,100.0,28.0,87.5,97.5,90.90909,49.49495,44.262295,86.53846,80.80808,79.710144,82.5,67.676765,60.377357,50.0,76.76768,60.56338,52.525253,65.0,68.42105,77.77778,54.21687,55.0,66.666664,77.5,63.636364,36.363636,4.878049,66.666664,7.5,60.869564,40.0,83.58209,92.92929,48.0,30.952381,2.3809524,76.74419,8.196721,47.77778,43.333332,20.20202,65.0,31.313131,5.1282053,38.38384,71.69811,87.5
9,58.6483390484752,83.333336,78.57143,31.25,35.714287,85.85859,55.555557,41.09589,95.652176,62.820515,44.444443,69.69697,22.5,49.49495,73.4375,90.47619,31.707317,64.583336,0.0,95.12195,30.0,87.5,97.5,93.93939,47.474747,52.459015,88.46154,76.76768,79.710144,77.5,70.70707,54.71698,67.5,88.888885,64.788734,59.59596,70.0,73.68421,78.78788,56.626507,52.5,76.47059,77.5,65.65656,34.343433,4.878049,70.114944,10.0,60.869564,45.0,86.56716,93.93939,48.0,21.428572,2.3809524,88.37209,11.4754095,44.444443,38.333332,16.161615,63.75,25.252525,0.0,35.353535,81.13207,85.0
10,59.22107673461495,85.0,78.57143,29.6875,40.816326,85.85859,57.575756,41.09589,91.304344,64.10256,44.444443,71.71717,10.0,48.484848,71.875,90.47619,46.341465,68.75,0.0,95.12195,26.0,85.0,95.0,95.959595,49.49495,42.62295,90.38461,79.79798,78.26087,80.0,70.70707,50.943398,55.0,85.85859,60.56338,56.565655,67.5,68.42105,75.757576,57.831326,52.5,76.47059,77.5,71.71717,35.353535,2.4390244,66.666664,15.0,60.869564,57.5,85.07462,95.959595,50.666668,30.952381,2.3809524,95.34884,11.4754095,45.555557,40.0,25.252525,66.25,34.343433,0.0,36.363636,77.35849,85.0
11,60.48109964062668,85.0,78.57143,31.25,35.714287,85.85859,63.636364,41.09589,97.82609,66.666664,45.454544,69.69697,17.5,59.59596,75.0,90.47619,36.585365,68.75,2.5,92.68293,26.0,87.5,92.5,95.959595,60.60606,39.34426,90.38461,77.77778,78.26087,80.0,70.70707,45.28302,62.5,89.89899,66.19718,59.59596,72.5,71.052635,84.84849,56.626507,55.0,76.47059,77.5,76.76768,36.363636,2.4390244,70.114944,22.5,63.04348,62.5,85.07462,94.94949,52.0,33.333332,2.3809524,88.37209,14.754098,45.555557,46.666668,19.19192,63.75,28.282827,0.0,34.343433,79.245285,90.0
18,60.87056127069742,88.333336,83.92857,35.9375,34.69388,83.83839,63.636364,42.46575,97.82609,64.10256,53.535355,72.72727,5.0,53.535355,73.4375,90.47619,41.463413,70.833336,0.0,95.12195,24.0,85.0,95.0,94.94949,64.64646,31.147541,90.38461,81.818184,81.159424,80.0,70.70707,49.056602,62.5,88.888885,60.56338,61.61616,67.5,75.0,79.79798,55.421688,52.5,78.43137,77.5,73.73737,32.32323,0.0,73.56322,7.5,56.52174,82.5,86.56716,93.93939,41.333332,45.238094,2.3809524,100.0,14.754098,43.333332,56.666668,26.262627,67.5,29.292929,0.0,37.373737,81.13207,87.5
25,60.89347077814301,88.333336,87.5,39.0625,33.67347,81.818184,51.515152,43.835617,95.652176,56.410255,72.72727,74.747475,45.0,52.525253,71.875,90.47619,34.146343,68.75,0.0,92.68293,26.0,82.5,97.5,95.959595,54.545456,36.065575,88.46154,78.78788,78.26087,82.5,66.666664,49.056602,62.5,89.89899,56.338028,71.71717,70.0,76.31579,75.757576,62.650604,45.0,80.39216,77.5,69.69697,41.414143,0.0,75.86207,2.5,58.695652,82.5,82.089554,93.93939,44.0,42.857143,0.0,100.0,11.4754095,43.333332,61.666668,21.212122,63.75,26.262627,0.0,37.373737,83.01887,82.5
