epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
0,47.514318439531706,55.0,60.714287,17.1875,12.244898,66.666664,36.363636,43.835617,82.608696,61.53846,36.363636,70.70707,32.5,26.262627,57.8125,59.52381,41.463413,56.25,2.5,95.12195,32.0,77.5,87.5,71.71717,50.50505,27.868853,61.53846,54.545456,68.115944,77.5,41.414143,49.056602,55.0,72.72727,36.619717,58.585857,40.0,65.789474,75.757576,40.963856,32.5,66.666664,62.5,52.525253,27.272728,9.756098,27.586206,12.5,28.26087,22.5,73.13433,90.90909,48.0,19.047619,11.904762,53.488373,18.032787,40.0,31.666666,15.151515,70.0,20.20202,5.1282053,41.414143,62.264153,47.5
1,47.835051543769964,63.333332,62.5,23.4375,11.22449,66.666664,42.424244,45.20548,82.608696,60.25641,23.232323,73.73737,12.5,36.363636,54.6875,66.666664,41.463413,62.5,2.5,87.80488,38.0,75.0,82.5,66.666664,43.434345,24.590164,65.38461,54.545456,69.565216,72.5,55.555557,56.603775,42.5,73.73737,19.71831,46.464645,45.0,56.57895,67.676765,43.373493,47.5,60.784313,65.0,55.555557,31.313131,7.3170733,33.333332,7.5,54.347828,45.0,77.61194,87.878784,44.0,26.190475,19.047619,58.139534,18.032787,54.444443,30.0,25.252525,55.0,24.242424,25.641026,30.30303,41.509434,50.0
2,48.980526916923395,61.666668,55.357143,18.75,20.408163,64.64646,42.424244,38.356163,84.78261,53.846153,35.353535,69.69697,30.0,37.373737,68.75,47.61905,39.02439,50.0,5.0,95.12195,38.0,80.0,70.0,71.71717,41.414143,37.704918,71.15385,48.484848,66.666664,80.0,60.60606,50.943398,40.0,73.73737,36.619717,61.61616,57.5,40.789474,79.79798,39.759037,42.5,72.54902,70.0,53.535355,31.313131,4.878049,33.333332,17.5,39.130436,27.5,77.61194,95.959595,46.666668,30.952381,26.190475,51.162792,6.557377,55.555557,41.666668,13.131313,62.5,22.222221,10.256411,38.38384,49.056602,65.0
3,51.36311568776903,66.666664,66.07143,28.125,29.591837,70.70707,49.49495,43.835617,84.78261,56.410255,21.212122,67.676765,25.0,34.343433,68.75,69.04762,43.90244,62.5,7.5,95.12195,34.0,87.5,87.5,79.79798,37.373737,49.18033,82.69231,68.68687,65.21739,67.5,56.565655,56.603775,42.5,69.69697,28.169014,59.59596,65.0,60.526318,72.72727,53.012047,50.0,70.588234,75.0,43.434345,33.333332,4.878049,37.931034,15.0,39.130436,30.0,77.61194,93.93939,42.666668,28.571428,19.047619,51.162792,11.4754095,53.333332,33.333332,12.121212,70.0,29.292929,10.256411,41.414143,69.81132,70.0
4,53.470790372763304,75.0,76.78571,25.0,30.612246,72.72727,57.575756,42.46575,89.13043,61.53846,29.292929,74.747475,22.5,39.39394,67.1875,69.04762,43.90244,56.25,7.5,97.560974,36.0,87.5,90.0,83.83839,42.424244,44.262295,82.69231,63.636364,73.91304,80.0,59.59596,41.509434,45.0,80.80808,38.028168,59.59596,60.0,55.263157,75.757576,46.987953,50.0,78.43137,77.5,65.65656,27.272728,4.878049,39.08046,10.0,39.130436,37.5,79.10448,87.878784,60.0,28.571428,16.666666,51.162792,14.754098,55.555557,41.666668,19.19192,66.25,25.252525,12.820513,36.363636,64.15094,67.5
5,55.051546383013296,78.333336,76.78571,32.8125,35.714287,77.77778,54.545456,47.945206,91.304344,61.53846,42.424244,64.64646,22.5,41.414143,68.75,80.95238,48.780487,58.333332,0.0,100.0,24.0,87.5,97.5,86.86869,50.50505,52.459015,78.84615,65.65656,73.91304,65.0,69.69697,50.943398,42.5,83.83839,35.21127,51.515152,65.0,63.157894,70.70707,50.60241,55.0,68.62745,72.5,65.65656,35.353535,4.878049,49.42529,25.0,54.347828,35.0,80.597015,93.93939,44.0,19.047619,16.666666,72.093025,14.754098,52.22222,36.666668,17.171717,67.5,26.262627,17.948717,36.363636,52.83019,77.5
6,55.578465047270434,83.333336,76.78571,23.4375,34.69388,74.747475,47.474747,39.72603,91.304344,64.10256,27.272728,67.676765,15.0,41.414143,71.875,85.71429,46.341465,64.583336,10.0,100.0,30.0,87.5,92.5,87.878784,52.525253,47.540985,82.69231,70.70707,75.36232,67.5,66.666664,56.603775,50.0,77.77778,35.21127,53.535355,70.0,67.10526,74.747475,62.650604,50.0,68.62745,75.0,65.65656,35.353535,4.878049,60.91954,10.0,58.695652,37.5,83.58209,91.91919,49.333332,23.809525,14.285714,90.69768,14.754098,44.444443,35.0,21.212122,67.5,22.222221,7.6923075,39.39394,58.490566,90.0
7,57.70904924320601,83.333336,80.35714,25.0,39.795918,78.78788,59.59596,39.72603,93.478264,60.25641,36.363636,72.72727,15.0,59.59596,71.875,83.333336,46.341465,60.416668,0.0,100.0,28.0,87.5,97.5,90.90909,50.50505,44.262295,88.46154,81.818184,81.159424,80.0,67.676765,60.377357,50.0,79.79798,50.704224,51.515152,65.0,68.42105,76.76768,55.421688,55.0,66.666664,77.5,65.65656,33.333332,4.878049,66.666664,7.5,58.695652,35.0,83.58209,91.91919,49.333332,28.571428,7.142857,76.74419,13.114754,46.666668,43.333332,20.20202,65.0,30.30303,7.6923075,39.39394,71.69811,90.0
9,58.923253134326565,86.666664,80.35714,29.6875,34.69388,83.83839,60.60606,49.315067,97.82609,64.10256,44.444443,70.70707,10.0,47.474747,73.4375,88.09524,29.268293,68.75,0.0,95.12195,30.0,87.5,97.5,93.93939,50.50505,49.18033,88.46154,76.76768,82.608696,75.0,70.70707,54.71698,65.0,91.91919,64.788734,59.59596,72.5,73.68421,80.80808,61.44578,52.5,78.43137,77.5,66.666664,35.353535,4.878049,67.81609,7.5,60.869564,42.5,86.56716,94.94949,46.666668,14.285714,2.3809524,90.69768,8.196721,45.555557,38.333332,16.161615,62.5,27.272728,0.0,35.353535,75.471695,87.5
10,59.19816722367364,86.666664,82.14286,29.6875,41.836735,85.85859,59.59596,43.835617,91.304344,62.820515,44.444443,67.676765,2.5,48.484848,71.875,90.47619,36.585365,60.416668,2.5,95.12195,26.0,85.0,95.0,95.959595,53.535355,44.262295,90.38461,78.78788,78.26087,77.5,70.70707,49.056602,62.5,87.878784,66.19718,55.555557,70.0,69.73684,77.77778,57.831326,52.5,76.47059,77.5,68.68687,39.39394,2.4390244,64.36781,10.0,63.04348,52.5,83.58209,95.959595,48.0,33.333332,2.3809524,93.023254,4.9180326,45.555557,38.333332,26.262627,70.0,34.343433,0.0,35.353535,77.35849,87.5
