epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
0,47.514318439531706,55.0,60.714287,17.1875,12.244898,66.666664,36.363636,43.835617,82.608696,61.53846,36.363636,70.70707,32.5,26.262627,57.8125,59.52381,41.463413,56.25,2.5,95.12195,32.0,77.5,87.5,71.71717,50.50505,27.868853,61.53846,54.545456,68.115944,77.5,41.414143,49.056602,55.0,72.72727,36.619717,58.585857,40.0,65.789474,75.757576,40.963856,32.5,66.666664,62.5,52.525253,27.272728,9.756098,27.586206,12.5,28.26087,22.5,73.13433,90.90909,48.0,19.047619,11.904762,53.488373,18.032787,40.0,31.666666,15.151515,70.0,20.20202,5.1282053,41.414143,62.264153,47.5
1,47.85796104771985,63.333332,60.714287,25.0,11.22449,66.666664,42.424244,46.575344,82.608696,58.974358,23.232323,73.73737,15.0,36.363636,54.6875,66.666664,41.463413,54.166668,2.5,87.80488,38.0,75.0,82.5,66.666664,44.444443,27.868853,61.53846,53.535355,69.565216,80.0,55.555557,56.603775,42.5,75.757576,21.12676,52.525253,45.0,56.57895,66.666664,43.373493,47.5,62.7451,67.5,54.545456,32.32323,7.3170733,27.586206,7.5,47.826088,42.5,77.61194,88.888885,44.0,21.428572,19.047619,58.139534,18.032787,56.666668,30.0,24.242424,55.0,26.262627,20.512821,31.313131,33.962265,57.5
2,48.31615120100128,60.0,50.0,17.1875,17.34694,61.61616,40.40404,39.72603,84.78261,55.128204,34.343433,71.71717,27.5,35.353535,68.75,47.61905,39.02439,52.083332,2.5,87.80488,38.0,80.0,70.0,68.68687,40.40404,39.34426,71.15385,50.50505,63.768116,80.0,60.60606,54.71698,42.5,73.73737,36.619717,62.626263,57.5,39.473682,77.77778,39.759037,37.5,72.54902,67.5,53.535355,30.30303,4.878049,33.333332,15.0,43.47826,27.5,76.1194,93.93939,45.333332,35.714287,26.190475,51.162792,6.557377,51.11111,40.0,13.131313,62.5,22.222221,7.6923075,39.39394,47.16981,65.0
3,48.63688430523954,55.0,60.714287,25.0,23.469387,64.64646,47.474747,43.835617,84.78261,55.128204,20.20202,63.636364,20.0,33.333332,67.1875,61.904762,46.341465,66.666664,5.0,85.36585,32.0,82.5,82.5,69.69697,32.32323,47.540985,80.76923,65.65656,59.420288,67.5,54.545456,52.83019,42.5,66.666664,21.12676,58.585857,62.5,57.894737,71.71717,49.39759,37.5,72.54902,75.0,41.414143,31.313131,4.878049,35.632183,15.0,39.130436,30.0,76.1194,90.90909,44.0,28.571428,21.428572,48.837208,11.4754095,45.555557,35.0,9.090909,67.5,27.272728,12.820513,40.40404,66.037735,67.5
4,49.59908361096289,68.333336,67.85714,25.0,22.44898,67.676765,51.515152,38.356163,84.78261,58.974358,25.252525,72.72727,17.5,37.373737,64.0625,64.28571,43.90244,58.333332,7.5,95.12195,36.0,87.5,90.0,73.73737,37.373737,39.34426,76.92308,57.575756,59.420288,72.5,55.555557,45.28302,42.5,78.78788,28.169014,57.575756,57.5,50.0,71.71717,44.578312,45.0,76.47059,72.5,60.60606,25.252525,4.878049,32.183907,10.0,36.95652,37.5,76.1194,87.878784,57.333332,23.809525,11.904762,39.534885,13.114754,47.77778,40.0,18.181818,65.0,23.232323,7.6923075,30.30303,60.377357,67.5
5,50.813287509074875,68.333336,66.07143,28.125,25.510204,73.73737,46.464645,45.20548,84.78261,58.974358,33.333332,58.585857,27.5,31.313131,64.0625,66.666664,41.463413,56.25,2.5,97.560974,30.0,87.5,92.5,75.757576,49.49495,54.098362,71.15385,57.575756,65.21739,62.5,67.676765,50.943398,35.0,80.80808,21.12676,52.525253,62.5,56.57895,65.65656,37.349396,55.0,68.62745,67.5,56.565655,30.30303,4.878049,37.931034,17.5,47.826088,35.0,79.10448,94.94949,45.333332,21.428572,21.428572,69.76744,18.032787,46.666668,30.0,18.181818,66.25,25.252525,15.384615,35.353535,60.377357,72.5
6,51.202749128658475,73.333336,66.07143,23.4375,28.571428,65.65656,41.414143,46.575344,91.304344,58.974358,27.272728,64.64646,20.0,35.353535,59.375,71.42857,36.585365,64.583336,10.0,95.12195,34.0,87.5,82.5,79.79798,45.454544,44.262295,80.76923,64.64646,65.21739,70.0,61.61616,50.943398,40.0,74.747475,19.71831,52.525253,65.0,63.157894,71.71717,50.60241,47.5,70.588234,70.0,58.585857,33.333332,4.878049,47.12644,7.5,45.652172,32.5,82.089554,90.90909,42.666668,26.190475,23.809525,76.74419,16.393442,44.444443,31.666666,21.212122,66.25,20.20202,5.1282053,35.353535,54.71698,80.0
7,56.70103091210434,83.333336,76.78571,28.125,41.836735,78.78788,49.49495,35.61644,89.13043,64.10256,27.272728,69.69697,20.0,57.575756,71.875,73.809525,48.780487,60.416668,5.0,95.12195,28.0,85.0,95.0,87.878784,45.454544,49.18033,86.53846,76.76768,82.608696,80.0,62.626263,60.377357,55.0,69.69697,35.21127,48.484848,67.5,67.10526,77.77778,53.012047,62.5,66.666664,77.5,68.68687,35.353535,2.4390244,59.770115,5.0,58.695652,47.5,85.07462,91.91919,53.333332,40.47619,14.285714,65.11628,14.754098,58.88889,43.333332,20.20202,66.25,31.313131,7.6923075,38.38384,66.037735,87.5
8,57.113402060107816,80.0,78.57143,28.125,34.69388,79.79798,56.565655,31.50685,93.478264,65.38461,40.40404,70.70707,10.0,25.252525,68.75,85.71429,36.585365,50.0,12.5,95.12195,34.0,90.0,97.5,90.90909,48.484848,55.737705,86.53846,74.747475,78.26087,80.0,70.70707,45.28302,67.5,93.93939,43.661972,41.414143,72.5,65.789474,77.77778,56.626507,50.0,66.666664,77.5,65.65656,37.373737,2.4390244,58.62069,15.0,63.04348,52.5,83.58209,94.94949,57.333332,35.714287,7.142857,74.4186,16.393442,70.0,31.666666,26.262627,63.75,31.313131,0.0,37.373737,66.037735,67.5
9,60.29782358455767,86.666664,80.35714,32.8125,40.816326,83.83839,60.60606,58.90411,89.13043,64.10256,44.444443,69.69697,25.0,40.40404,78.125,85.71429,34.146343,75.0,2.5,95.12195,30.0,87.5,95.0,89.89899,54.545456,50.81967,92.30769,74.747475,81.159424,80.0,70.70707,50.943398,72.5,90.90909,60.56338,55.555557,77.5,73.68421,82.828285,62.650604,57.5,74.5098,77.5,67.676765,41.414143,4.878049,72.413795,7.5,54.347828,50.0,88.0597,95.959595,49.333332,30.952381,16.666666,88.37209,6.557377,52.22222,38.333332,22.222221,63.75,31.313131,7.6923075,36.363636,73.58491,82.5
10,61.832760583412195,91.666664,80.35714,34.375,44.89796,84.84849,59.59596,56.164383,86.95652,70.51282,53.535355,72.72727,20.0,40.40404,73.4375,88.09524,53.658535,64.583336,2.5,95.12195,28.0,82.5,92.5,92.92929,60.60606,45.901638,94.23077,79.79798,86.95652,77.5,70.70707,52.83019,55.0,80.80808,67.60564,56.565655,75.0,73.68421,80.80808,67.46988,57.5,74.5098,77.5,77.77778,37.373737,2.4390244,73.56322,12.5,67.391304,67.5,86.56716,94.94949,52.0,35.714287,4.7619047,90.69768,4.9180326,65.55556,41.666668,31.313131,67.5,36.363636,0.0,40.40404,66.037735,77.5
11,63.39060708971231,93.333336,80.35714,37.5,37.7551,86.86869,66.666664,64.38356,89.13043,71.79487,57.575756,70.70707,35.0,42.424244,70.3125,88.09524,31.707317,68.75,2.5,95.12195,28.0,87.5,92.5,92.92929,62.626263,52.459015,90.38461,78.78788,82.608696,80.0,70.70707,50.943398,70.0,87.878784,66.19718,75.757576,75.0,80.26316,86.86869,61.44578,60.0,76.47059,87.5,76.76768,38.38384,2.4390244,75.86207,20.0,65.21739,70.0,88.0597,95.959595,60.0,38.095238,4.7619047,97.674416,11.4754095,70.0,60.0,9.090909,63.75,33.333332,2.5641026,36.363636,71.69811,80.0
12,63.66552117905939,85.0,82.14286,37.5,38.77551,88.888885,64.64646,56.164383,84.78261,75.64103,56.565655,72.72727,20.0,52.525253,75.0,88.09524,46.341465,54.166668,0.0,95.12195,28.0,87.5,100.0,92.92929,61.61616,49.18033,94.23077,80.80808,73.91304,82.5,70.70707,47.16981,65.0,90.90909,67.60564,57.575756,75.0,85.52631,84.84849,67.46988,52.5,74.5098,77.5,74.747475,52.525253,2.4390244,79.31035,22.5,60.869564,82.5,89.55224,95.959595,53.333332,40.47619,4.7619047,93.023254,13.114754,63.333332,53.333332,20.20202,68.75,38.38384,0.0,42.424244,75.471695,85.0
14,65.15463915952702,86.666664,85.71429,43.75,41.836735,88.888885,72.72727,56.164383,84.78261,74.35897,64.64646,71.71717,10.0,51.515152,70.3125,88.09524,43.90244,58.333332,0.0,92.68293,30.0,82.5,95.0,92.92929,78.78788,55.737705,92.30769,85.85859,79.710144,85.0,70.70707,56.603775,67.5,80.80808,66.19718,57.575756,77.5,93.42105,85.85859,61.44578,62.5,76.47059,77.5,73.73737,45.454544,2.4390244,78.16092,5.0,63.04348,82.5,85.07462,96.969696,54.666668,47.61905,2.3809524,100.0,13.114754,75.55556,50.0,24.242424,72.5,42.424244,10.256411,46.464645,75.471695,90.0
15,65.36082473003304,91.666664,87.5,42.1875,44.89796,87.878784,69.69697,56.164383,84.78261,73.07692,63.636364,75.757576,12.5,48.484848,73.4375,88.09524,46.341465,54.166668,0.0,95.12195,32.0,87.5,95.0,92.92929,71.71717,60.65574,94.23077,81.818184,78.26087,85.0,70.70707,52.83019,72.5,86.86869,61.971832,63.636364,75.0,94.73684,85.85859,68.6747,60.0,78.43137,82.5,72.72727,46.464645,2.4390244,82.75862,7.5,69.565216,85.0,85.07462,94.94949,57.333332,50.0,2.3809524,100.0,11.4754095,75.55556,58.333332,18.181818,72.5,40.40404,0.0,39.39394,75.471695,85.0
17,65.88774340128161,93.333336,92.85714,42.1875,41.836735,86.86869,67.676765,54.79452,86.95652,78.20513,63.636364,76.76768,27.5,58.585857,78.125,88.09524,36.585365,60.416668,0.0,97.560974,26.0,87.5,92.5,93.93939,84.84849,59.01639,90.38461,83.83839,82.608696,82.5,70.70707,56.603775,80.0,87.878784,69.014084,49.49495,75.0,93.42105,83.83839,62.650604,57.5,74.5098,80.0,69.69697,47.474747,2.4390244,81.60919,2.5,67.391304,82.5,85.07462,93.93939,56.0,52.38095,4.7619047,100.0,3.2786884,75.55556,60.0,32.32323,72.5,49.49495,0.0,35.353535,71.69811,82.5
18,65.97938143455968,93.333336,87.5,51.5625,44.89796,84.84849,71.71717,54.79452,84.78261,79.48718,63.636364,74.747475,7.5,50.50505,85.9375,88.09524,36.585365,72.916664,0.0,95.12195,32.0,90.0,95.0,92.92929,86.86869,55.737705,92.30769,80.80808,84.05797,85.0,72.72727,50.943398,72.5,82.828285,64.788734,52.525253,77.5,93.42105,80.80808,57.831326,72.5,78.43137,72.5,75.757576,47.474747,2.4390244,81.60919,12.5,69.565216,85.0,86.56716,93.93939,52.0,54.761906,4.7619047,97.674416,3.2786884,70.0,60.0,32.32323,75.0,42.424244,2.5641026,39.39394,79.245285,85.0
19,66.30011453530223,93.333336,89.28571,45.3125,44.89796,88.888885,71.71717,54.79452,89.13043,73.07692,65.65656,79.79798,2.5,49.49495,81.25,90.47619,14.634147,75.0,0.0,95.12195,28.0,85.0,97.5,93.93939,90.90909,57.37705,96.15385,83.83839,81.159424,85.0,68.68687,54.71698,75.0,85.85859,63.380283,60.60606,72.5,92.10526,80.80808,71.084335,60.0,76.47059,75.0,72.72727,46.464645,2.4390244,85.05747,5.0,65.21739,85.0,89.55224,93.93939,60.0,59.52381,9.523809,97.674416,14.754098,75.55556,53.333332,25.252525,73.75,41.414143,0.0,39.39394,77.35849,87.5
20,66.87285222144197,93.333336,87.5,43.75,45.918365,85.85859,73.73737,60.27397,89.13043,70.51282,69.69697,75.757576,10.0,53.535355,84.375,95.2381,63.414635,72.916664,2.5,95.12195,34.0,87.5,92.5,91.91919,87.878784,65.57377,96.15385,84.84849,84.05797,92.5,66.666664,52.83019,47.5,86.86869,61.971832,56.565655,72.5,92.10526,82.828285,63.855423,72.5,76.47059,75.0,70.70707,54.545456,0.0,85.05747,7.5,65.21739,85.0,88.0597,94.94949,56.0,57.142857,4.7619047,100.0,13.114754,73.333336,61.666668,22.222221,72.5,43.434345,2.5641026,39.39394,79.245285,87.5
21,67.17067581823464,93.333336,87.5,46.875,44.89796,86.86869,76.76768,53.424656,89.13043,75.64103,70.70707,74.747475,7.5,51.515152,82.8125,90.47619,48.780487,64.583336,0.0,100.0,28.0,87.5,100.0,92.92929,90.90909,60.65574,92.30769,81.818184,78.26087,90.0,66.666664,60.377357,57.5,90.90909,69.014084,59.59596,72.5,93.42105,81.818184,68.6747,67.5,78.43137,75.0,69.69697,52.525253,2.4390244,85.05747,10.0,67.391304,87.5,86.56716,94.94949,56.0,54.761906,7.142857,97.674416,16.393442,77.77778,58.333332,25.252525,71.25,42.424244,2.5641026,41.414143,86.79245,87.5
22,67.67468499776834,93.333336,87.5,48.4375,43.877552,88.888885,73.73737,57.53425,91.304344,76.92308,66.666664,80.80808,5.0,48.484848,79.6875,90.47619,29.268293,66.666664,2.5,100.0,28.0,90.0,100.0,93.93939,85.85859,59.01639,94.23077,81.818184,81.159424,87.5,66.666664,58.490566,75.0,89.89899,67.60564,58.585857,72.5,92.10526,83.83839,80.72289,75.0,76.47059,77.5,74.747475,51.515152,2.4390244,86.206894,5.0,71.73913,85.0,86.56716,94.94949,60.0,54.761906,4.7619047,95.34884,11.4754095,76.666664,61.666668,31.313131,72.5,41.414143,0.0,43.434345,86.79245,95.0
24,68.31615120624485,93.333336,87.5,42.1875,45.918365,85.85859,70.70707,54.79452,91.304344,74.35897,65.65656,78.78788,27.5,49.49495,81.25,92.85714,31.707317,79.166664,0.0,95.12195,30.0,87.5,97.5,95.959595,84.84849,62.295082,92.30769,81.818184,86.95652,92.5,67.676765,62.264153,80.0,86.86869,61.971832,61.61616,75.0,93.42105,84.84849,73.49397,80.0,76.47059,80.0,66.666664,71.71717,0.0,82.75862,5.0,69.565216,85.0,92.537315,94.94949,60.0,54.761906,9.523809,95.34884,14.754098,75.55556,56.666668,29.292929,81.25,42.424244,5.1282053,45.454544,83.01887,95.0
26,68.65979379870228,93.333336,87.5,46.875,47.959183,87.878784,83.83839,54.79452,89.13043,74.35897,71.71717,74.747475,22.5,58.585857,81.25,90.47619,48.780487,75.0,0.0,92.68293,30.0,87.5,92.5,95.959595,89.89899,72.13115,96.15385,80.80808,88.4058,95.0,71.71717,56.603775,65.0,85.85859,63.380283,57.575756,72.5,93.42105,77.77778,66.26506,75.0,78.43137,77.5,70.70707,54.545456,2.4390244,82.75862,27.5,67.391304,85.0,88.0597,96.969696,53.333332,54.761906,2.3809524,95.34884,22.950819,81.111115,56.666668,30.30303,76.25,41.414143,10.256411,45.454544,90.56604,90.0
27,69.3241695181201,93.333336,83.92857,45.3125,51.02041,89.89899,72.72727,63.0137,91.304344,75.64103,74.747475,80.80808,37.5,49.49495,85.9375,92.85714,48.780487,72.916664,0.0,100.0,28.0,87.5,95.0,97.9798,84.84849,68.85246,94.23077,81.818184,91.304344,95.0,70.70707,56.603775,57.5,82.828285,63.380283,60.60606,72.5,92.10526,80.80808,67.46988,77.5,78.43137,77.5,73.73737,56.565655,4.878049,83.90804,55.0,69.565216,82.5,85.07462,93.93939,58.666668,54.761906,14.285714,95.34884,14.754098,83.333336,56.666668,29.292929,78.75,44.444443,0.0,46.464645,90.56604,92.5
28,69.85108818587295,93.333336,87.5,43.75,46.938774,87.878784,75.757576,52.054794,84.78261,71.79487,77.77778,78.78788,42.5,60.60606,82.8125,92.85714,58.536587,79.166664,0.0,100.0,30.0,90.0,95.0,95.959595,84.84849,68.85246,94.23077,85.85859,84.05797,95.0,69.69697,64.15094,55.0,78.78788,74.64789,54.545456,70.0,93.42105,81.818184,72.289154,80.0,80.39216,77.5,71.71717,61.61616,2.4390244,86.206894,60.0,71.73913,82.5,88.0597,94.94949,60.0,54.761906,14.285714,97.674416,13.114754,80.0,56.666668,29.292929,77.5,48.484848,0.0,49.49495,90.56604,92.5
30,69.9656357231009,93.333336,91.07143,42.1875,48.97959,86.86869,76.76768,56.164383,91.304344,71.79487,70.70707,77.77778,67.5,59.59596,84.375,95.2381,51.219513,70.833336,0.0,100.0,32.0,87.5,95.0,95.959595,82.828285,59.01639,94.23077,81.818184,84.05797,95.0,70.70707,60.377357,65.0,78.78788,69.014084,57.575756,72.5,93.42105,82.828285,71.084335,82.5,80.39216,77.5,70.70707,66.666664,2.4390244,91.954025,60.0,69.565216,85.0,88.0597,93.93939,54.666668,57.142857,9.523809,100.0,18.032787,80.0,61.666668,28.282827,78.75,47.474747,2.5641026,48.484848,90.56604,90.0
32,69.9885452340422,95.0,87.5,43.75,45.918365,90.90909,77.77778,50.684933,91.304344,73.07692,79.79798,79.79798,65.0,56.565655,81.25,92.85714,58.536587,83.333336,0.0,97.560974,32.0,87.5,95.0,95.959595,87.878784,57.37705,94.23077,80.80808,79.710144,95.0,72.72727,66.037735,65.0,78.78788,63.380283,63.636364,72.5,94.73684,81.818184,67.46988,82.5,84.31373,75.0,79.79798,59.59596,2.4390244,91.954025,65.0,69.565216,85.0,89.55224,93.93939,48.0,54.761906,7.142857,100.0,9.836065,82.22222,58.333332,22.222221,78.75,49.49495,0.0,45.454544,90.56604,90.0
33,70.19473080105251,93.333336,89.28571,50.0,47.959183,87.878784,76.76768,47.945206,91.304344,74.35897,75.757576,82.828285,62.5,51.515152,82.8125,92.85714,58.536587,85.416664,0.0,100.0,40.0,87.5,97.5,95.959595,82.828285,60.65574,94.23077,80.80808,85.50725,95.0,68.68687,67.92453,60.0,87.878784,63.380283,61.61616,80.0,93.42105,84.84849,71.084335,82.5,82.35294,80.0,75.757576,51.515152,2.4390244,91.954025,65.0,69.565216,90.0,88.0597,94.94949,50.666668,54.761906,9.523809,95.34884,14.754098,80.0,56.666668,24.242424,78.75,50.50505,0.0,46.464645,90.56604,90.0
