epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
0,74.56965802157448,91.860466,90.90909,43.75,79.518074,97.9798,50.0,81.25,98.630135,98.52941,94.94949,72.916664,38.46154,56.25,61.842106,91.78082,79.03226,62.7451,55.813953,91.358025,63.333332,74.13793,87.05882,100.0,52.63158,52.77778,88.333336,80.76923,91.666664,87.5,89.333336,80.72289,71.79487,85.07462,30.434782,40.84507,82.608696,90.0,87.93104,57.35294,53.125,73.333336,72.05882,78.46154,64.40678,17.910448,92.30769,75.471695,60.60606,84.0,97.560974,96.1039,78.43137,56.060608,76.623375,90.90909,73.01588,82.71605,72.22222,54.71698,69.49152,81.70731,34.117645,52.238808,65.4321,77.55102
1,75.09754418177646,93.023254,94.94949,53.125,75.90362,97.9798,48.71795,81.25,98.630135,100.0,96.969696,82.291664,35.384617,42.1875,68.42105,95.89041,87.09677,64.70588,53.488373,90.12346,55.0,81.034485,83.52941,100.0,45.614037,55.555557,86.666664,82.69231,85.0,83.333336,92.0,81.92771,67.948715,91.04478,39.130436,33.80282,76.08696,98.333336,87.93104,58.82353,59.375,73.333336,76.47059,83.07692,54.23729,14.925373,96.15385,69.81132,77.27273,88.0,95.12195,96.1039,74.5098,53.030304,80.51948,89.77273,80.95238,85.18519,70.37037,60.377357,61.01695,84.14634,35.294117,47.761192,59.25926,81.63265
3,76.31397750745926,93.023254,97.9798,64.0625,74.69879,97.9798,55.128204,83.75,97.26028,97.05882,97.9798,75.0,50.76923,50.0,72.36842,95.89041,88.70968,62.7451,51.162792,92.59259,58.333332,81.034485,84.70588,100.0,42.105263,63.88889,95.0,90.38461,86.666664,75.0,92.0,84.33735,71.79487,89.55224,39.130436,47.887325,84.78261,93.333336,89.655174,73.52941,54.6875,80.0,75.0,72.30769,61.01695,8.955224,98.07692,66.037735,53.030304,92.0,90.243904,94.80519,80.39216,57.575756,77.92208,92.045456,79.36508,81.48148,66.666664,56.603775,72.881355,85.36585,28.235294,47.761192,80.24691,85.71429
4,77.18613725040166,95.34884,95.959595,48.4375,80.72289,98.9899,56.410255,81.25,94.520546,98.52941,97.9798,78.125,46.153847,43.75,80.26316,93.15069,87.09677,62.7451,62.7907,97.53086,58.333332,87.93104,94.117645,100.0,43.85965,77.77778,98.333336,84.61539,88.333336,81.94444,94.666664,90.36144,69.23077,91.04478,34.782608,43.661972,80.434784,93.333336,89.655174,63.235294,59.375,80.0,83.82353,83.07692,45.76271,10.447762,98.07692,83.01887,65.15151,85.333336,95.12195,94.80519,76.47059,59.090908,75.32468,86.36364,77.77778,83.950615,74.07407,62.264153,66.10169,82.92683,37.64706,49.25373,74.07407,85.71429
5,77.23204039476704,95.34884,95.959595,78.125,81.92771,98.9899,52.564102,88.75,94.520546,98.52941,98.9899,71.875,52.307693,46.875,75.0,91.78082,82.258064,62.7451,55.813953,97.53086,51.666668,93.10345,87.05882,100.0,52.63158,75.0,95.0,84.61539,91.666664,75.0,97.333336,84.33735,67.948715,91.04478,34.782608,39.43662,78.26087,95.0,87.93104,63.235294,62.5,76.666664,80.882355,83.07692,64.40678,13.432836,98.07692,73.58491,68.181816,84.0,95.12195,97.402596,76.47059,57.575756,79.22078,96.59091,84.12698,81.48148,59.25926,67.92453,69.49152,79.268295,24.705883,46.268658,70.37037,93.87755
6,78.51732843699793,96.51163,96.969696,67.1875,79.518074,98.9899,57.692307,86.25,97.26028,98.52941,97.9798,86.458336,47.692307,59.375,77.63158,94.520546,82.258064,60.784313,60.465115,97.53086,60.0,94.82758,85.882355,100.0,52.63158,75.0,93.333336,90.38461,91.666664,76.388885,94.666664,89.156624,76.92308,85.07462,39.130436,47.887325,89.13043,95.0,91.37931,70.588234,57.8125,80.0,79.411766,84.61539,59.322033,11.940298,98.07692,71.69811,60.60606,88.0,95.12195,97.402596,70.588234,62.121212,80.51948,97.72727,79.36508,82.71605,59.25926,64.15094,74.57627,78.04878,29.411764,50.74627,77.77778,93.87755
7,78.6779894422768,91.860466,94.94949,76.5625,84.33735,100.0,57.692307,78.75,94.520546,98.52941,97.9798,79.166664,49.23077,57.8125,75.0,91.78082,80.645164,62.7451,60.465115,96.296295,61.666668,75.86207,94.117645,100.0,52.63158,80.55556,96.666664,88.46154,90.0,88.888885,92.0,89.156624,79.48718,88.0597,39.130436,40.84507,89.13043,96.666664,93.10345,67.64706,60.9375,80.0,82.35294,81.53846,61.01695,13.432836,98.07692,75.471695,80.30303,90.666664,97.560974,97.402596,76.47059,69.69697,79.22078,92.045456,79.36508,83.950615,64.81481,66.037735,66.10169,81.70731,24.705883,40.298508,80.24691,91.83673
8,79.34358503557493,96.51163,93.93939,76.5625,87.951805,98.9899,61.53846,83.75,98.630135,98.52941,100.0,83.333336,46.153847,35.9375,65.789474,94.520546,83.870964,62.7451,65.11628,96.296295,71.666664,82.75862,96.47059,100.0,59.649124,75.0,96.666664,80.76923,93.333336,91.666664,93.333336,89.156624,83.333336,91.04478,39.130436,42.25352,91.304344,96.666664,93.10345,70.588234,60.9375,83.333336,82.35294,80.0,57.627117,10.447762,98.07692,84.90566,71.21212,90.666664,95.12195,97.402596,78.43137,60.60606,74.02597,88.63636,82.53968,90.12346,68.51852,71.69811,74.57627,78.04878,24.705883,47.761192,83.950615,85.71429
9,80.00918062887308,96.51163,94.94949,84.375,75.90362,100.0,75.64103,81.25,98.630135,98.52941,100.0,82.291664,49.23077,40.625,82.89474,95.89041,83.870964,66.666664,55.813953,92.59259,68.333336,89.655174,95.29412,100.0,56.14035,75.0,96.666664,80.76923,96.666664,80.55556,92.0,89.156624,80.76923,86.56716,43.47826,59.15493,86.95652,91.666664,100.0,75.0,60.9375,83.333336,77.94118,89.23077,66.10169,14.925373,98.07692,81.13207,81.818184,86.666664,95.12195,97.402596,72.54902,65.15151,80.51948,94.318184,74.60317,79.012344,66.666664,62.264153,71.18644,78.04878,27.058823,47.761192,83.950615,95.918365
10,80.83543722745009,96.51163,94.94949,75.0,79.518074,98.9899,70.51282,80.0,98.630135,98.52941,98.9899,90.625,60.0,54.6875,82.89474,94.520546,82.258064,66.666664,65.11628,97.53086,73.333336,87.93104,91.76471,100.0,68.42105,69.44444,96.666664,86.53846,95.0,83.333336,93.333336,89.156624,80.76923,79.10448,39.130436,56.338028,82.608696,91.666664,98.27586,77.94118,62.5,83.333336,79.411766,81.53846,62.711864,16.41791,98.07692,83.01887,69.69697,90.666664,95.12195,98.7013,80.39216,75.757576,71.42857,95.454544,77.77778,83.950615,70.37037,64.15094,76.27119,85.36585,21.17647,56.71642,85.18519,91.83673
