epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
0,68.85043262187767,93.24324,60.97561,74.07407,80.0,89.333336,66.666664,67.5,66.666664,75.0,86.8421,66.666664,68.0,29.545454,47.5,85.0,47.826088,46.666668,33.333332,85.71429,73.333336,81.818184,93.478264,92.22222,65.0,47.826088,85.0,25.0,74.68355,84.78261,77.77778,77.77778,85.71429,62.7451,5.0,21.428572,43.75,83.333336,95.918365,38.095238,60.0,42.105263,84.210526,55.0,50.0,78.947365,22.222221,87.5,63.82979,55.10204,86.666664,75.0,80.0,57.142857,70.731705,80.434784,55.0,60.0,76.08696,70.0,37.5,75.0,67.441864,85.0,33.333332,68.75
1,69.79810465281031,91.89189,65.85366,74.07407,72.5,94.666664,66.666664,62.5,66.666664,70.0,89.47369,62.31884,60.0,43.18182,72.5,85.0,52.173912,46.666668,38.88889,85.71429,71.111115,77.27273,91.304344,87.77778,45.0,23.913044,87.5,27.5,56.962025,82.608696,88.888885,79.166664,77.55102,66.666664,5.0,45.238094,56.25,83.333336,97.95918,42.857143,85.0,42.105263,73.68421,50.0,53.846153,78.947365,66.666664,91.666664,61.70213,57.142857,86.666664,70.0,80.0,61.904762,78.04878,82.608696,65.0,60.0,82.608696,60.0,37.5,75.0,76.74419,70.0,52.38095,81.25
3,70.53976100611992,93.24324,53.658535,81.48148,82.5,93.333336,68.68687,65.0,66.666664,80.0,90.789474,63.768116,60.0,43.18182,70.0,87.5,52.173912,53.333332,44.444443,76.190475,75.55556,77.27273,89.13043,93.333336,70.0,43.47826,90.0,20.0,72.1519,84.78261,88.888885,75.0,81.63265,70.588234,0.0,35.714287,46.875,88.888885,97.95918,47.61905,60.0,42.105263,68.42105,60.0,46.153847,78.947365,61.11111,91.666664,57.446808,59.183674,86.666664,65.0,76.666664,64.28571,73.17073,86.95652,75.0,60.0,67.391304,55.0,37.5,72.72727,67.441864,95.0,47.61905,75.0
4,71.8170580979871,93.24324,68.29269,77.77778,77.5,90.666664,70.70707,67.5,69.69697,80.0,84.210526,62.31884,56.0,45.454544,82.5,90.0,52.173912,60.0,33.333332,80.95238,73.333336,81.818184,91.304344,95.55556,65.0,36.95652,90.0,30.0,68.35443,82.608696,94.44444,87.5,81.63265,66.666664,5.0,26.190475,59.375,94.44444,95.918365,52.38095,65.0,36.842106,73.68421,55.0,50.0,78.947365,61.11111,83.333336,68.085106,55.10204,80.0,65.0,83.333336,64.28571,73.17073,95.652176,70.0,60.0,82.608696,75.0,37.5,72.72727,69.76744,85.0,42.857143,68.75
5,72.80593322263512,93.24324,68.29269,81.48148,80.0,97.333336,79.79798,72.5,57.575756,85.0,85.52631,65.21739,52.0,40.909092,77.5,90.0,52.173912,46.666668,55.555557,90.47619,77.77778,81.818184,93.478264,94.44444,75.0,34.782608,87.5,35.0,70.88608,89.13043,88.888885,80.55556,81.63265,70.588234,5.0,40.47619,50.0,77.77778,100.0,52.38095,70.0,36.842106,84.210526,70.0,50.0,78.947365,55.555557,91.666664,61.70213,61.22449,86.666664,75.0,83.333336,64.28571,68.29269,86.95652,62.5,60.0,82.608696,67.5,43.75,70.454544,69.76744,85.0,47.61905,75.0
6,73.6711989828329,93.24324,70.731705,81.48148,82.5,98.666664,78.78788,67.5,69.69697,85.0,85.52631,72.46377,52.0,50.0,72.5,87.5,56.52174,66.666664,44.444443,95.2381,77.77778,81.818184,97.82609,92.22222,65.0,34.782608,87.5,35.0,74.68355,86.95652,94.44444,86.111115,81.63265,70.588234,5.0,35.714287,59.375,77.77778,100.0,57.142857,50.0,42.105263,89.47369,65.0,50.0,84.210526,55.555557,91.666664,61.70213,65.30612,86.666664,65.0,76.666664,61.904762,73.17073,93.478264,60.0,70.0,78.26087,72.5,43.75,72.72727,72.093025,75.0,47.61905,75.0
7,74.20683971667516,93.24324,68.29269,77.77778,85.0,97.333336,76.76768,65.0,69.69697,80.0,86.8421,73.91304,60.0,52.272728,75.0,92.5,52.173912,73.333336,50.0,80.95238,75.55556,86.36364,95.652176,94.44444,65.0,47.826088,87.5,40.0,65.822784,89.13043,83.333336,86.111115,81.63265,70.588234,0.0,35.714287,62.5,72.22222,100.0,52.38095,70.0,42.105263,78.947365,60.0,46.153847,78.947365,61.11111,87.5,72.34042,65.30612,86.666664,65.0,76.666664,61.904762,73.17073,95.652176,70.0,75.0,76.08696,77.5,50.0,68.181816,74.4186,75.0,57.142857,81.25
8,75.44293363466645,93.24324,70.731705,85.18519,75.0,94.666664,84.84849,70.0,75.757576,85.0,86.8421,73.91304,56.0,38.636364,85.0,92.5,47.826088,73.333336,44.444443,80.95238,77.77778,81.818184,93.478264,93.333336,65.0,43.47826,87.5,37.5,73.417725,89.13043,94.44444,86.111115,81.63265,68.62745,0.0,42.857143,65.625,83.333336,100.0,57.142857,65.0,42.105263,78.947365,80.0,46.153847,89.47369,61.11111,87.5,70.21277,67.34694,86.666664,65.0,83.333336,69.04762,78.04878,95.652176,72.5,75.0,84.78261,77.5,50.0,70.454544,74.4186,75.0,47.61905,81.25
10,76.7202307343925,95.945946,75.60976,85.18519,77.5,94.666664,86.86869,67.5,72.72727,80.0,85.52631,76.81159,56.0,50.0,77.5,90.0,52.173912,73.333336,38.88889,85.71429,84.44444,90.90909,97.82609,94.44444,65.0,41.304348,85.0,42.5,81.01266,89.13043,94.44444,91.666664,83.67347,66.666664,5.0,40.47619,59.375,72.22222,100.0,52.38095,70.0,47.36842,78.947365,80.0,53.846153,84.210526,61.11111,91.666664,74.46809,69.38776,86.666664,70.0,83.333336,66.666664,78.04878,95.652176,80.0,80.0,76.08696,75.0,50.0,75.0,76.74419,75.0,52.38095,87.5
13,76.84384012870647,93.24324,78.04878,81.48148,80.0,96.0,84.84849,67.5,78.78788,90.0,86.8421,72.46377,60.0,52.272728,77.5,87.5,47.826088,66.666664,38.88889,85.71429,84.44444,81.818184,93.478264,92.22222,75.0,43.47826,90.0,40.0,77.21519,89.13043,94.44444,91.666664,85.71429,64.70588,0.0,38.095238,59.375,77.77778,100.0,66.666664,65.0,47.36842,84.210526,80.0,57.692307,94.73684,66.666664,91.666664,76.59574,65.30612,86.666664,70.0,83.333336,71.42857,82.92683,93.478264,72.5,75.0,73.91304,75.0,62.5,75.0,86.04651,75.0,47.61905,93.75
