epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
0,53.150057275516474,71.666664,42.857143,31.25,21.428572,69.69697,38.38384,52.054794,80.434784,58.974358,44.444443,82.828285,7.5,38.38384,56.25,76.190475,29.268293,62.5,22.5,97.560974,66.0,75.0,92.5,54.545456,79.79798,49.18033,80.76923,68.68687,76.81159,82.5,48.484848,54.71698,65.0,69.69697,8.450705,68.68687,42.5,65.789474,68.68687,46.987953,57.5,49.019608,77.5,43.434345,29.292929,53.658535,52.87356,42.5,36.95652,25.0,71.64179,91.91919,49.333332,30.952381,11.904762,72.093025,16.393442,62.22222,26.666666,29.292929,73.75,26.262627,56.410255,32.32323,35.849056,55.0
1,55.441008012210105,71.666664,64.28571,29.6875,44.89796,82.828285,50.50505,56.164383,89.13043,55.128204,29.292929,73.73737,12.5,24.242424,68.75,76.190475,26.829268,50.0,17.5,95.12195,70.0,72.5,95.0,54.545456,73.73737,37.704918,86.53846,59.59596,73.91304,82.5,60.60606,58.490566,80.0,60.60606,7.0422535,78.78788,37.5,63.157894,65.65656,37.349396,72.5,56.862743,67.5,37.373737,60.60606,43.90244,70.114944,40.0,58.695652,45.0,80.597015,86.86869,44.0,47.61905,21.428572,79.06977,21.311476,62.22222,38.333332,18.181818,66.25,32.32323,64.10256,40.40404,47.16981,62.5
4,56.33447880608383,75.0,66.07143,35.9375,47.959183,87.878784,41.414143,46.575344,89.13043,56.410255,42.424244,78.78788,2.5,28.282827,60.9375,78.57143,29.268293,75.0,10.0,92.68293,70.0,85.0,97.5,61.61616,80.80808,55.737705,90.38461,57.575756,75.36232,85.0,65.65656,56.603775,75.0,69.69697,7.0422535,71.71717,37.5,61.842106,63.636364,40.963856,42.5,60.784313,67.5,48.484848,40.40404,36.585365,60.91954,52.5,58.695652,40.0,79.10448,89.89899,41.333332,40.47619,26.190475,83.72093,21.311476,68.888885,26.666666,18.181818,78.75,31.313131,71.79487,42.424244,45.28302,45.0
6,56.72394042916314,73.333336,76.78571,32.8125,51.02041,88.888885,52.525253,46.575344,91.304344,56.410255,32.32323,77.77778,12.5,39.39394,67.1875,78.57143,19.512196,70.833336,15.0,92.68293,72.0,77.5,92.5,56.565655,80.80808,39.34426,92.30769,65.65656,81.159424,85.0,69.69697,54.71698,82.5,37.373737,15.492958,59.59596,32.5,61.842106,64.64646,39.759037,50.0,56.862743,82.5,49.49495,35.353535,41.463413,59.770115,55.0,67.391304,40.0,77.61194,92.92929,53.333332,50.0,30.952381,83.72093,16.393442,64.44444,43.333332,29.292929,73.75,28.282827,69.23077,37.373737,47.16981,60.0
7,60.87056127681492,88.333336,66.07143,37.5,67.34694,90.90909,68.68687,53.424656,89.13043,69.23077,35.353535,85.85859,7.5,37.373737,65.625,88.09524,21.95122,72.916664,20.0,95.12195,74.0,80.0,95.0,75.757576,82.828285,32.786884,92.30769,78.78788,82.608696,85.0,69.69697,56.603775,87.5,67.676765,19.71831,62.626263,37.5,67.10526,83.83839,30.120481,52.5,54.901962,80.0,45.454544,48.484848,51.219513,71.264366,65.0,67.391304,37.5,80.597015,91.91919,53.333332,45.238094,28.571428,90.69768,13.114754,72.22222,50.0,29.292929,70.0,23.232323,64.10256,41.414143,47.16981,42.5
8,63.0927835069025,88.333336,80.35714,37.5,71.42857,90.90909,70.70707,60.27397,86.95652,60.25641,45.454544,71.71717,15.0,33.333332,73.4375,90.47619,19.512196,77.083336,12.5,92.68293,72.0,82.5,97.5,86.86869,78.78788,49.18033,94.23077,75.757576,84.05797,92.5,69.69697,54.71698,87.5,78.78788,12.676056,63.636364,30.0,73.68421,76.76768,48.192772,57.5,54.901962,77.5,61.61616,42.424244,46.341465,77.0115,82.5,63.04348,37.5,82.089554,91.91919,56.0,50.0,28.571428,93.023254,18.032787,75.55556,53.333332,31.313131,76.25,35.353535,69.23077,38.38384,43.396225,50.0
9,64.30698740151877,86.666664,89.28571,35.9375,70.408165,92.92929,69.69697,61.643837,86.95652,61.53846,58.585857,77.77778,30.0,23.232323,75.0,90.47619,21.95122,77.083336,10.0,95.12195,72.0,77.5,97.5,88.888885,76.76768,42.62295,94.23077,84.84849,84.05797,95.0,69.69697,54.71698,80.0,73.73737,29.577465,62.626263,35.0,71.052635,80.80808,44.578312,45.0,58.82353,77.5,63.636364,52.525253,46.341465,71.264366,87.5,67.391304,35.0,86.56716,92.92929,58.666668,50.0,30.952381,95.34884,13.114754,66.666664,65.0,35.353535,72.5,36.363636,69.23077,43.434345,52.83019,50.0
10,64.55899197992454,90.0,85.71429,35.9375,66.32653,91.91919,71.71717,61.643837,86.95652,65.38461,59.59596,74.747475,15.0,31.313131,82.8125,90.47619,31.707317,66.666664,2.5,92.68293,78.0,77.5,95.0,90.90909,75.757576,45.901638,96.15385,77.77778,81.159424,92.5,70.70707,56.603775,75.0,77.77778,25.352112,62.626263,52.5,77.63158,78.78788,44.578312,57.5,58.82353,70.0,65.65656,50.50505,43.90244,67.81609,90.0,69.565216,37.5,85.07462,87.878784,57.333332,52.38095,30.952381,93.023254,16.393442,73.333336,70.0,31.313131,73.75,39.39394,64.10256,42.424244,54.71698,52.5
11,65.13172966606429,90.0,83.92857,39.0625,74.4898,91.91919,69.69697,61.643837,91.304344,62.820515,60.60606,76.76768,20.0,42.424244,76.5625,90.47619,26.829268,72.916664,2.5,92.68293,76.0,80.0,100.0,84.84849,77.77778,57.37705,94.23077,79.79798,71.014496,92.5,69.69697,58.490566,80.0,62.626263,21.12676,51.515152,40.0,72.36842,81.818184,45.78313,55.0,60.784313,77.5,67.676765,51.515152,43.90244,72.413795,87.5,65.21739,40.0,85.07462,89.89899,54.666668,59.52381,30.952381,95.34884,18.032787,73.333336,65.0,48.484848,73.75,42.424244,71.79487,48.484848,52.83019,52.5
12,65.40664375104173,91.666664,85.71429,37.5,75.5102,90.90909,72.72727,54.79452,89.13043,65.38461,68.68687,73.73737,35.0,47.474747,79.6875,90.47619,39.02439,77.083336,5.0,92.68293,80.0,77.5,97.5,86.86869,76.76768,45.901638,94.23077,73.73737,82.608696,92.5,69.69697,54.71698,80.0,67.676765,21.12676,54.545456,52.5,75.0,84.84849,38.55422,55.0,54.901962,82.5,60.60606,55.555557,41.463413,74.71265,87.5,82.608696,35.0,86.56716,90.90909,54.666668,57.142857,28.571428,95.34884,14.754098,75.55556,63.333332,37.373737,71.25,38.38384,79.48718,44.444443,54.71698,40.0
