epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
0,78.8691146379657,93.67088,90.90909,87.09677,76.74419,93.181816,45.16129,91.489365,95.06173,92.59259,76.78571,85.85859,46.153847,19.791666,89.77273,98.666664,81.92771,97.01492,36.585365,98.50746,70.68965,88.73239,78.78788,85.71429,50.0,70.731705,95.522385,91.22807,90.0,95.833336,91.91919,73.17073,87.03704,79.79798,28.571428,92.85714,77.77778,88.541664,85.36585,64.51613,100.0,62.857143,97.87234,65.0,40.0,71.052635,97.9798,41.860466,67.441864,89.830505,93.10345,90.90909,77.5,69.38776,86.95652,82.828285,65.11628,87.878784,68.085106,32.894737,85.0,65.51724,85.71429,60.0,79.56989,87.755104
1,78.98175262980537,93.67088,93.93939,74.19355,93.023254,95.454544,54.83871,87.23404,95.06173,91.358025,75.0,82.828285,46.153847,20.833334,86.36364,94.666664,89.156624,95.522385,46.341465,100.0,67.24138,83.098595,78.78788,81.31868,44.444443,70.731705,95.522385,91.22807,93.333336,94.44444,94.94949,78.04878,87.03704,71.71717,39.285713,95.918365,84.72222,90.625,90.243904,66.666664,100.0,65.71429,93.61702,31.666666,60.0,97.36842,94.94949,48.837208,67.441864,84.745766,94.82758,87.878784,92.5,67.34694,95.652176,79.79798,76.74419,83.83839,76.59574,31.578947,76.666664,50.0,83.333336,62.22222,84.946236,87.755104
2,79.00428022611085,93.67088,91.91919,74.19355,86.04651,97.72727,51.612904,87.23404,98.765434,91.358025,73.21429,84.84849,50.76923,18.75,87.5,90.666664,89.156624,95.522385,48.780487,100.0,67.24138,87.323944,74.747475,86.81319,37.77778,70.731705,95.522385,89.47369,95.55556,97.22222,93.93939,68.29269,87.03704,71.71717,23.214285,88.77551,84.72222,87.5,85.36585,63.44086,98.52941,61.42857,91.489365,58.333332,50.0,92.10526,96.969696,53.488373,67.441864,91.52542,91.37931,86.86869,80.0,69.38776,100.0,79.79798,76.74419,79.79798,76.59574,61.842106,78.333336,51.724136,78.57143,62.22222,86.02151,90.81633
3,80.64879475641047,94.93671,90.90909,83.870964,90.69768,95.454544,58.064518,93.61702,95.06173,96.296295,78.57143,85.85859,53.846153,26.041666,87.5,94.666664,87.951805,95.522385,51.219513,97.01492,75.86207,87.323944,87.878784,93.40659,55.555557,78.04878,97.01492,91.22807,94.44444,97.22222,94.94949,70.731705,92.59259,67.676765,30.357143,94.89796,83.333336,94.791664,85.36585,55.91398,98.52941,71.42857,95.74468,61.666668,40.0,94.73684,96.969696,53.488373,53.488373,93.22034,96.55173,84.84849,75.0,67.34694,97.82609,79.79798,79.06977,75.757576,87.23404,34.210526,81.666664,63.793102,76.190475,66.666664,86.02151,89.79592
4,82.0229781310444,93.67088,91.91919,75.80645,88.37209,93.181816,53.225807,87.23404,90.12346,93.82716,83.92857,83.83839,53.846153,18.75,92.045456,96.0,89.156624,97.01492,48.780487,97.01492,77.586205,87.323944,88.888885,96.7033,48.88889,82.92683,100.0,92.98245,91.111115,97.22222,94.94949,87.80488,92.59259,76.76768,60.714287,89.79592,86.111115,94.791664,87.80488,62.365593,98.52941,74.28571,95.74468,51.666668,47.5,97.36842,97.9798,46.511627,69.76744,93.22034,93.10345,91.91919,85.0,73.46939,97.82609,81.818184,76.74419,70.70707,95.74468,59.210526,78.333336,75.86207,78.57143,64.44444,84.946236,91.83673
5,82.22572650638726,94.93671,94.94949,83.870964,90.69768,95.454544,64.51613,80.85107,87.65432,96.296295,78.57143,81.818184,61.53846,23.958334,92.045456,97.333336,89.156624,97.01492,56.09756,98.50746,72.413795,88.73239,84.84849,97.8022,53.333332,78.04878,98.50746,92.98245,96.666664,97.22222,89.89899,80.48781,90.74074,72.72727,58.92857,97.95918,84.72222,93.75,87.80488,59.139786,98.52941,67.14286,100.0,63.333332,47.5,97.36842,95.959595,41.860466,69.76744,96.61017,94.82758,91.91919,80.0,71.42857,100.0,82.828285,79.06977,72.72727,89.3617,35.526318,78.333336,87.93104,80.95238,66.666664,84.946236,92.85714
6,83.30705113936233,96.20253,94.94949,88.70968,90.69768,93.181816,62.903225,80.85107,92.59259,96.296295,82.14286,85.85859,69.23077,23.958334,89.77273,97.333336,87.951805,94.029854,51.219513,98.50746,74.13793,87.323944,87.878784,97.8022,55.555557,78.04878,97.01492,94.73684,95.55556,98.611115,92.92929,82.92683,90.74074,72.72727,53.57143,91.83673,87.5,93.75,90.243904,63.44086,97.05882,67.14286,100.0,43.333332,52.5,97.36842,97.9798,46.511627,51.162792,94.91525,94.82758,95.959595,82.5,77.55102,100.0,87.878784,76.74419,81.818184,91.489365,59.210526,86.666664,84.48276,83.333336,71.111115,86.02151,92.85714
7,83.55485467981664,94.93671,94.94949,80.645164,90.69768,95.454544,61.29032,80.85107,93.82716,95.06173,85.71429,84.84849,73.84615,17.708334,92.045456,98.666664,89.156624,95.522385,60.97561,98.50746,72.413795,85.91549,87.878784,96.7033,54.444443,75.60976,97.01492,92.98245,93.333336,95.833336,91.91919,82.92683,94.44444,72.72727,46.42857,89.79592,76.388885,95.833336,90.243904,70.96774,98.52941,70.0,95.74468,50.0,57.5,97.36842,96.969696,41.860466,48.837208,94.91525,96.55173,93.93939,85.0,73.46939,100.0,89.89899,79.06977,82.828285,89.3617,73.68421,95.0,89.655174,85.71429,73.333336,88.17204,89.79592
8,83.73507545026042,94.93671,94.94949,85.48387,90.69768,95.454544,61.29032,93.61702,92.59259,97.53086,82.14286,85.85859,75.38461,22.916666,92.045456,98.666664,89.156624,97.01492,48.780487,97.01492,77.586205,84.50704,90.90909,94.50549,58.88889,80.48781,97.01492,92.98245,95.55556,95.833336,95.959595,87.80488,94.44444,74.747475,25.0,89.79592,75.0,94.791664,87.80488,66.666664,98.52941,71.42857,100.0,50.0,57.5,97.36842,96.969696,46.511627,48.837208,98.305084,94.82758,95.959595,80.0,75.5102,100.0,86.86869,81.39535,84.84849,91.489365,78.947365,80.0,87.93104,83.333336,71.111115,84.946236,90.81633
9,85.15431403641122,94.93671,95.959595,87.09677,90.69768,95.454544,64.51613,85.106384,95.06173,95.06173,87.5,84.84849,80.0,27.083334,92.045456,97.333336,89.156624,94.029854,48.780487,97.01492,77.586205,81.69014,86.86869,96.7033,60.0,82.92683,94.029854,94.73684,95.55556,97.22222,93.93939,90.243904,92.59259,73.73737,44.642857,87.755104,86.111115,91.666664,90.243904,78.49462,98.52941,70.0,97.87234,55.0,57.5,97.36842,100.0,46.511627,62.7907,96.61017,93.10345,95.959595,82.5,75.5102,100.0,92.92929,81.39535,85.85859,85.106384,84.210526,90.0,89.655174,88.09524,75.55556,90.32258,93.87755
