epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31
0,65.92119275825345,73.91304,97.560974,95.833336,79.268295,63.88889,93.61702,85.71429,57.73196,18.556702,61.728394,84.84849,85.0,89.0,33.67347,39.0,90.90909,93.0,90.42553,72.916664,61.05263,41.935482,92.0,90.81633,22.44898,56.666668,61.333332,49.0,53.535355,20.20202,58.333332,29.6875
2,66.09868654597089,82.608696,97.560974,100.0,69.51219,55.555557,91.489365,85.71429,67.01031,18.556702,61.728394,85.85859,86.0,88.0,33.67347,40.0,85.85859,94.0,89.3617,62.5,64.210526,46.23656,88.0,88.77551,27.55102,61.11111,66.666664,47.0,51.515152,24.242424,46.875,42.1875
3,68.61909833155839,84.78261,97.560974,98.611115,73.17073,66.666664,91.489365,89.01099,53.608246,18.556702,64.19753,90.90909,87.0,89.0,30.612246,59.0,89.89899,95.0,92.55319,71.875,63.157894,54.83871,94.0,87.755104,28.571428,63.333332,72.0,48.0,57.575756,21.212122,56.25,40.625
4,71.03301384451544,82.608696,98.78049,98.611115,78.04878,58.333332,91.489365,90.10989,60.82474,15.463918,71.604935,93.93939,88.0,90.0,38.77551,81.0,93.93939,96.0,93.61702,76.041664,67.36842,65.5914,93.0,90.81633,25.510204,63.333332,73.333336,47.0,59.59596,21.212122,47.916668,48.4375
5,71.3880014199503,85.86957,97.560974,95.833336,78.04878,66.666664,94.680855,92.30769,65.97938,14.43299,69.1358,92.92929,89.0,90.0,33.67347,81.0,93.93939,97.0,94.680855,83.333336,69.47369,63.44086,93.0,90.81633,25.510204,63.333332,73.333336,48.0,62.626263,15.151515,46.875,46.875
6,71.74298899538516,86.95652,97.560974,95.833336,71.95122,63.88889,92.55319,91.20879,68.04124,14.43299,69.1358,92.92929,90.0,89.0,29.591837,90.0,93.93939,96.0,93.61702,85.416664,74.73684,67.741936,94.0,90.81633,27.55102,65.55556,72.0,48.0,65.65656,15.151515,38.541668,51.5625
7,72.09797657082002,88.04348,98.78049,97.22222,71.95122,58.333332,95.74468,89.01099,67.01031,13.402061,71.604935,93.93939,89.0,88.0,29.591837,89.0,92.92929,95.0,94.680855,89.583336,72.63158,70.96774,94.0,90.81633,26.530613,62.22222,69.333336,47.0,68.68687,16.161615,43.75,57.8125
10,72.98544550940717,92.391304,97.560974,95.833336,74.39024,72.22222,91.489365,87.91209,69.07217,14.43299,71.604935,92.92929,91.0,92.0,30.612246,84.0,94.94949,93.0,95.74468,87.5,75.789474,69.89247,94.0,90.81633,24.489796,71.111115,69.333336,49.0,65.65656,26.262627,47.916668,53.125
47,73.1629392971246,97.82609,98.78049,98.611115,54.878048,66.666664,97.87234,87.91209,72.16495,23.71134,69.1358,90.90909,90.0,88.0,24.489796,78.0,91.91919,93.0,93.61702,77.083336,73.68421,68.81721,93.0,88.77551,26.530613,68.888885,54.666668,55.0,73.73737,42.424244,60.416668,65.625
51,73.19843805466809,97.82609,97.560974,98.611115,52.439026,66.666664,95.74468,89.01099,71.13402,25.773195,70.37037,90.90909,90.0,88.0,25.510204,79.0,92.92929,94.0,91.489365,76.041664,74.73684,69.89247,91.0,88.77551,26.530613,66.666664,58.666668,58.0,73.73737,45.454544,55.208332,65.625
59,73.30493432729854,97.82609,97.560974,98.611115,47.560974,69.44444,95.74468,89.01099,72.16495,19.58763,70.37037,90.90909,91.0,88.0,28.571428,79.0,93.93939,93.0,92.55319,76.041664,78.947365,69.89247,92.0,88.77551,28.571428,66.666664,52.0,56.0,71.71717,48.484848,60.416668,65.625
