epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31
0,65.92119275825345,73.91304,97.560974,95.833336,79.268295,63.88889,93.61702,85.71429,57.73196,18.556702,61.728394,84.84849,85.0,89.0,33.67347,39.0,90.90909,93.0,90.42553,72.916664,61.05263,41.935482,92.0,90.81633,22.44898,56.666668,61.333332,49.0,53.535355,20.20202,58.333332,29.6875
2,66.73766418175364,82.608696,97.560974,100.0,71.95122,55.555557,91.489365,85.71429,67.01031,18.556702,64.19753,86.86869,86.0,88.0,34.69388,40.0,88.888885,95.0,90.42553,64.583336,64.210526,46.23656,90.0,89.79592,27.55102,62.22222,68.0,47.0,53.535355,23.232323,46.875,40.625
3,69.43556975505857,83.695656,97.560974,98.611115,75.60976,63.88889,91.489365,89.01099,55.670105,18.556702,65.4321,93.93939,87.0,89.0,29.591837,63.0,92.92929,96.0,93.61702,67.708336,64.210526,56.989246,94.0,88.77551,28.571428,65.55556,72.0,48.0,59.59596,22.222221,58.333332,43.75
4,71.92048278310259,83.695656,98.78049,98.611115,81.70731,61.11111,91.489365,90.10989,64.948456,16.494844,71.604935,93.93939,88.0,90.0,34.69388,87.0,93.93939,95.0,95.74468,72.916664,68.42105,67.741936,94.0,89.79592,26.530613,65.55556,73.333336,47.0,67.676765,20.20202,46.875,53.125
5,72.6659566915158,85.86957,97.560974,95.833336,79.268295,66.666664,94.680855,91.20879,72.16495,15.463918,69.1358,92.92929,89.0,90.0,34.69388,90.0,92.92929,95.0,95.74468,79.166664,71.57895,65.5914,94.0,91.83673,28.571428,71.111115,73.333336,48.0,67.676765,12.121212,47.916668,56.25
6,72.87894923677672,89.13043,97.560974,95.833336,74.39024,63.88889,92.55319,89.01099,71.13402,14.43299,71.604935,92.92929,90.0,90.0,31.632652,90.0,94.94949,95.0,93.61702,80.208336,76.8421,68.81721,94.0,89.79592,28.571428,73.333336,74.666664,49.0,69.69697,15.151515,43.75,59.375
7,74.54739084132055,88.04348,98.78049,97.22222,79.268295,44.444443,93.61702,89.01099,72.16495,26.804123,75.30864,92.92929,90.0,88.0,46.938774,92.0,92.92929,95.0,92.55319,83.333336,75.789474,69.89247,95.0,91.83673,27.55102,76.666664,72.0,48.0,77.77778,13.131313,48.958332,65.625
10,75.32836350727725,95.652176,97.560974,95.833336,79.268295,61.11111,92.55319,87.91209,77.31959,41.237114,69.1358,92.92929,91.0,92.0,34.69388,89.0,94.94949,92.0,95.74468,83.333336,77.89474,70.96774,95.0,90.81633,32.65306,78.888885,70.666664,47.0,76.76768,13.131313,50.0,65.625
18,75.75434859779908,93.478264,97.560974,98.611115,82.92683,63.88889,94.680855,90.10989,68.04124,39.17526,70.37037,87.878784,92.0,91.0,45.918365,99.0,92.92929,97.0,95.74468,71.875,81.052635,67.741936,95.0,88.77551,34.69388,82.22222,61.333332,48.0,69.69697,16.161615,64.583336,64.0625
20,76.74831380901668,97.82609,96.34146,97.22222,84.14634,58.333332,97.87234,89.01099,72.16495,36.082474,70.37037,90.90909,91.0,93.0,63.265305,89.0,93.93939,91.0,92.55319,78.125,76.8421,74.19355,95.0,91.83673,36.734695,82.22222,69.333336,50.0,68.68687,15.151515,66.666664,64.0625
23,76.92580759673412,96.73913,98.78049,97.22222,84.14634,61.11111,93.61702,89.01099,72.16495,38.14433,74.07407,89.89899,93.0,91.0,59.183674,97.0,91.91919,94.0,90.42553,72.916664,80.0,70.96774,97.0,89.79592,36.734695,86.666664,68.0,47.0,72.72727,24.242424,53.125,71.875
24,77.99077032303869,95.652176,100.0,98.611115,86.585365,61.11111,96.80851,90.10989,76.28866,39.17526,70.37037,87.878784,91.0,92.0,71.42857,98.0,92.92929,96.0,93.61702,77.083336,84.210526,65.5914,94.0,89.79592,38.77551,83.333336,68.0,50.0,76.76768,24.242424,56.25,65.625
25,78.55875044373447,95.652176,96.34146,98.611115,86.585365,61.11111,92.55319,89.01099,75.25773,45.360825,72.83951,90.90909,92.0,92.0,72.44898,99.0,93.93939,97.0,93.61702,80.208336,78.947365,69.89247,94.0,90.81633,39.795918,84.44444,70.666664,47.0,76.76768,23.232323,57.291668,73.4375
27,78.80724174653888,97.82609,97.560974,98.611115,87.80488,63.88889,94.680855,90.10989,76.28866,41.237114,72.83951,87.878784,92.0,90.0,73.46939,97.0,92.92929,96.0,92.55319,79.166664,81.052635,70.96774,95.0,88.77551,34.69388,85.55556,66.666664,55.0,74.747475,30.30303,59.375,76.5625
29,79.33972310969116,95.652176,97.560974,98.611115,84.14634,61.11111,93.61702,90.10989,75.25773,55.670105,72.83951,90.90909,93.0,91.0,70.408165,99.0,92.92929,97.0,93.61702,84.375,83.1579,67.741936,94.0,90.81633,37.7551,85.55556,68.0,51.0,74.747475,29.292929,60.416668,73.4375
35,80.58217962371317,95.652176,98.78049,98.611115,87.80488,66.666664,95.74468,92.30769,76.28866,51.54639,72.83951,91.91919,92.0,93.0,75.5102,99.0,93.93939,96.0,92.55319,80.208336,83.1579,69.89247,95.0,88.77551,35.714287,83.333336,73.333336,64.0,78.78788,31.313131,65.625,75.0
40,81.22115725949591,95.652176,97.560974,98.611115,84.14634,72.22222,95.74468,92.30769,78.35052,53.608246,74.07407,91.91919,92.0,93.0,76.53061,99.0,93.93939,97.0,92.55319,80.208336,85.26316,72.043015,95.0,90.81633,40.816326,85.55556,72.0,59.0,81.818184,25.252525,77.083336,71.875
44,81.64714235001775,95.652176,98.78049,98.611115,86.585365,72.22222,95.74468,92.30769,77.31959,63.917526,74.07407,92.92929,92.0,94.0,74.4898,98.0,93.93939,96.0,92.55319,83.333336,88.42105,70.96774,95.0,89.79592,39.795918,85.55556,73.333336,52.0,80.80808,18.181818,89.583336,73.4375
47,81.71813986510472,95.652176,97.560974,98.611115,81.70731,75.0,96.80851,93.40659,78.35052,69.07217,67.90124,91.91919,91.0,91.0,75.5102,93.0,94.94949,96.0,93.61702,86.458336,84.210526,72.043015,95.0,89.79592,40.816326,91.111115,73.333336,53.0,80.80808,35.353535,73.958336,75.0
50,82.0021299254526,95.652176,100.0,98.611115,82.92683,75.0,97.87234,94.50549,78.35052,67.01031,67.90124,92.92929,91.0,93.0,75.5102,97.0,93.93939,97.0,94.680855,85.416664,89.47369,70.96774,96.0,88.77551,37.7551,85.55556,70.666664,54.0,84.84849,28.282827,77.083336,79.6875
51,82.39261625843095,95.652176,100.0,98.611115,82.92683,77.77778,96.80851,94.50549,78.35052,67.01031,71.604935,93.93939,91.0,93.0,78.57143,98.0,93.93939,96.0,95.74468,88.541664,87.36842,73.11828,96.0,89.79592,40.816326,85.55556,72.0,51.0,84.84849,25.252525,78.125,79.6875
