epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31
0,65.92119275825345,73.91304,97.560974,95.833336,79.268295,63.88889,93.61702,85.71429,57.73196,18.556702,61.728394,84.84849,85.0,89.0,33.67347,39.0,90.90909,93.0,90.42553,72.916664,61.05263,41.935482,92.0,90.81633,22.44898,56.666668,61.333332,49.0,53.535355,20.20202,58.333332,29.6875
2,66.70216542421015,82.608696,97.560974,100.0,70.731705,52.77778,91.489365,85.71429,67.01031,18.556702,64.19753,86.86869,86.0,88.0,34.69388,39.0,88.888885,95.0,90.42553,65.625,64.210526,46.23656,90.0,89.79592,27.55102,62.22222,68.0,47.0,53.535355,24.242424,46.875,40.625
3,69.54206602768903,83.695656,97.560974,98.611115,75.60976,63.88889,91.489365,89.01099,55.670105,18.556702,65.4321,93.93939,87.0,89.0,29.591837,63.0,92.92929,96.0,93.61702,68.75,64.210526,56.989246,94.0,88.77551,29.591837,65.55556,72.0,48.0,59.59596,22.222221,58.333332,45.3125
4,71.84948526801561,83.695656,98.78049,98.611115,81.70731,61.11111,91.489365,90.10989,62.886597,16.494844,70.37037,93.93939,88.0,90.0,34.69388,87.0,93.93939,95.0,94.680855,73.958336,67.36842,67.741936,94.0,89.79592,26.530613,65.55556,73.333336,47.0,67.676765,22.222221,46.875,53.125
5,72.70145544905928,86.95652,97.560974,95.833336,79.268295,66.666664,94.680855,91.20879,72.16495,15.463918,70.37037,92.92929,89.0,90.0,32.65306,90.0,92.92929,95.0,95.74468,79.166664,71.57895,65.5914,94.0,91.83673,28.571428,71.111115,73.333336,48.0,67.676765,12.121212,48.958332,56.25
6,72.73695420660277,89.13043,97.560974,95.833336,74.39024,63.88889,92.55319,91.20879,71.13402,14.43299,70.37037,92.92929,89.0,90.0,31.632652,91.0,93.93939,95.0,93.61702,80.208336,76.8421,68.81721,94.0,89.79592,28.571428,72.22222,74.666664,48.0,69.69697,15.151515,41.666668,59.375
7,74.29889953851615,90.21739,98.78049,97.22222,75.60976,44.444443,93.61702,89.01099,71.13402,26.804123,74.07407,92.92929,90.0,88.0,42.857143,92.0,92.92929,95.0,93.61702,80.208336,75.789474,70.96774,95.0,91.83673,27.55102,76.666664,70.666664,48.0,77.77778,15.151515,47.916668,67.1875
8,74.33439829605963,92.391304,97.560974,97.22222,79.268295,61.11111,92.55319,91.20879,62.886597,22.680412,71.604935,93.93939,90.0,88.0,40.816326,95.0,93.93939,95.0,93.61702,87.5,74.73684,70.96774,95.0,90.81633,28.571428,72.22222,68.0,51.0,74.747475,15.151515,50.0,65.625
10,75.75434859779908,94.565216,97.560974,94.44444,84.14634,61.11111,92.55319,90.10989,77.31959,29.896908,71.604935,91.91919,89.0,92.0,38.77551,92.0,94.94949,93.0,95.74468,87.5,76.8421,72.043015,95.0,91.83673,27.55102,81.111115,69.333336,49.0,74.747475,21.212122,53.125,65.625
15,76.32232871849486,94.565216,96.34146,97.22222,81.70731,66.666664,90.42553,90.10989,71.13402,35.051548,74.07407,88.888885,92.0,91.0,78.57143,93.0,95.959595,95.0,95.74468,75.0,80.0,73.11828,97.0,88.77551,28.571428,83.333336,68.0,48.0,71.71717,17.171717,43.75,62.5
17,76.7128150514732,94.565216,96.34146,95.833336,87.80488,61.11111,95.74468,89.01099,70.103096,37.113403,71.604935,91.91919,93.0,93.0,72.44898,88.0,91.91919,94.0,93.61702,77.083336,75.789474,69.89247,95.0,90.81633,27.55102,82.22222,62.666668,54.0,75.757576,15.151515,62.5,67.1875
21,76.74831380901668,96.73913,97.560974,95.833336,86.585365,66.666664,96.80851,90.10989,74.22681,37.113403,71.604935,89.89899,93.0,91.0,72.44898,89.0,93.93939,94.0,93.61702,82.291664,77.89474,73.11828,96.0,87.755104,24.489796,81.111115,66.666664,46.0,66.666664,17.171717,57.291668,75.0
22,77.03230386936457,94.565216,96.34146,94.44444,85.36585,69.44444,93.61702,90.10989,72.16495,38.14433,74.07407,89.89899,91.0,90.0,71.42857,91.0,93.93939,92.0,91.489365,80.208336,80.0,74.19355,94.0,88.77551,52.040817,87.77778,68.0,45.0,66.666664,13.131313,55.208332,64.0625
23,77.31629392971246,94.565216,100.0,97.22222,85.36585,63.88889,94.680855,87.91209,73.19588,43.29897,72.83951,88.888885,92.0,91.0,79.591835,90.0,91.91919,93.0,87.23404,77.083336,78.947365,66.666664,94.0,87.755104,23.469387,85.55556,68.0,53.0,70.70707,31.313131,61.458332,70.3125
26,77.91977280795172,92.391304,96.34146,98.611115,85.36585,66.666664,95.74468,89.01099,71.13402,37.113403,70.37037,94.94949,91.0,93.0,72.44898,100.0,93.93939,94.0,92.55319,78.125,77.89474,69.89247,94.0,90.81633,25.510204,84.44444,68.0,48.0,77.77778,27.272728,66.666664,70.3125
29,78.45225417110402,95.652176,98.78049,98.611115,84.14634,66.666664,96.80851,89.01099,71.13402,56.70103,71.604935,90.90909,93.0,89.0,75.5102,100.0,96.969696,95.0,91.489365,77.083336,74.73684,69.89247,94.0,89.79592,27.55102,87.77778,66.666664,47.0,73.73737,31.313131,60.416668,67.1875
30,78.4877529286475,95.652176,98.78049,98.611115,86.585365,66.666664,97.87234,91.20879,72.16495,55.670105,75.30864,88.888885,90.0,90.0,74.4898,97.0,93.93939,94.0,96.80851,80.208336,75.789474,65.5914,94.0,89.79592,26.530613,85.55556,65.333336,46.0,73.73737,30.30303,66.666664,67.1875
31,78.59424920127796,95.652176,96.34146,98.611115,86.585365,69.44444,96.80851,92.30769,71.13402,63.917526,75.30864,88.888885,92.0,89.0,71.42857,99.0,93.93939,93.0,95.74468,78.125,72.63158,69.89247,93.0,89.79592,32.65306,84.44444,69.333336,48.0,73.73737,26.262627,59.375,70.3125
